"","word","modality","fit","se","lwr","upr","avg_expressibility_norm","n","diff_expr","diff_rank","SemanticSubcat","German","English"
"1","aanraken","gesture",0.671533640557816,0.0395099904159158,0.588135738381837,0.744593509680998,0.68030909615,58,0.554834760807143,103,"haptic","Berührung","touch"
"2","aanraken","multimodal",0.694753651508799,0.0375056221683902,0.61721159884893,0.76366701494648,0.73220812545,56,0.554834760807143,103,"haptic","Berührung","touch"
"3","aanraken","vocal",0.206290012936648,0.0382940582148857,0.14239914892711,0.294340022785495,0.177373364642857,159,0.554834760807143,103,"haptic","Berührung","touch"
"4","aarde","gesture",0.540446821383875,0.0491195370153344,0.444047156592248,0.632926128210188,0.5439545472,96,0.37346712335,72,"environment","Erde","soil"
"5","aarde","multimodal",0.523602778103496,0.0437238203271506,0.43890309577251,0.611601163202495,0.49785965295,122,0.37346712335,72,"environment","Erde","soil"
"6","aarde","vocal",0.195377904214042,0.0382308396633559,0.132023331556611,0.281966455110562,0.17048742385,168,0.37346712335,72,"environment","Erde","soil"
"7","ademen","gesture",0.780850565040157,0.0310908935089862,0.712688818628236,0.835971245388118,0.765703421954545,38,0.0747353960704545,31,"olfactory","atmen","to breathe"
"8","ademen","multimodal",0.808394757322192,0.0273769037143495,0.747791270516728,0.857325236574048,0.840438818025,17,0.0747353960704545,31,"olfactory","atmen","to breathe"
"9","ademen","vocal",0.785386187218029,0.0344366474448757,0.70623520121215,0.845971410871653,0.81868105205,7,0.0747353960704545,31,"olfactory","atmen","to breathe"
"10","alles","gesture",0.351968095718471,0.0425255246316929,0.27211815591637,0.437653562430533,0.360792962325,158,0.317359555735526,47,"logical","alles","all"
"11","alles","multimodal",0.382621598875284,0.0421812493666927,0.300710596165272,0.466387320789437,0.398006536210526,160,0.317359555735526,47,"logical","alles","all"
"12","alles","vocal",0.117633507657735,0.0266097602352959,0.0749048908220357,0.183275359869604,0.080646980475,205,0.317359555735526,47,"logical","alles","all"
"13","arm (lichaam)","gesture",0.536086302586038,0.0423058260592801,0.452815149518425,0.618627636140847,0.52600773335,107,0.538085127829762,120,"manual","Arm","arm"
"14","arm (lichaam)","multimodal",0.574616748220342,0.0386470061519259,0.494480737091324,0.648299734094571,0.617897712425,86,0.538085127829762,120,"manual","Arm","arm"
"15","arm (lichaam)","vocal",0.127699996813629,0.0266598404644879,0.083493989417611,0.191696025013724,0.0798125845952381,206,0.538085127829762,120,"manual","Arm","arm"
"16","as","gesture",0.263427922577701,0.0369562514968188,0.197574251921203,0.342006014380235,0.285584997921053,175,0.177538483802005,29,"object","Asche","ash"
"17","as","multimodal",0.245163908071611,0.0317718116077648,0.188023156636612,0.314394473821872,0.175985345809524,204,0.177538483802005,29,"object","Asche","ash"
"18","as","vocal",0.129065391914229,0.0266445878589489,0.0850733621652999,0.192177684333971,0.108046514119048,197,0.177538483802005,29,"object","Asche","ash"
"19","badderen","gesture",0.48528477795842,0.043052627383656,0.399452222500917,0.568772784754627,0.5026380587,117,0.16803986975,79,"survival","baden","to bathe"
"20","badderen","multimodal",0.47457538629089,0.0409512825325405,0.395004866025542,0.557099876360373,0.440789722690476,148,0.16803986975,79,"survival","baden","to bathe"
"21","badderen","vocal",0.333117392239275,0.0437173567577959,0.254969515052371,0.42319436474024,0.33459818895,69,0.16803986975,79,"survival","baden","to bathe"
"22","bang","gesture",0.713759568127619,0.0386174654457583,0.632004263119753,0.781720845865649,0.689590505809524,57,0.118135777615476,38,"valence","verängstigt","scared"
"23","bang","multimodal",0.757731581736876,0.0333211584910383,0.686674587908156,0.815958240082729,0.807726283425,34,0.118135777615476,38,"valence","verängstigt","scared"
"24","bang","vocal",0.694453492326456,0.0444752511421995,0.595075099257781,0.775165989159223,0.717775622931818,19,0.118135777615476,38,"valence","verängstigt","scared"
"25","been","gesture",0.523879202716998,0.0458261864969147,0.433681194756303,0.611499112030114,0.53663134325,101,0.341157617075,40,"other","Bein","leg"
"26","been","multimodal",0.516127482492476,0.0444544114709703,0.428619222613981,0.602364111497218,0.485939934425,125,0.341157617075,40,"other","Bein","leg"
"27","been","vocal",0.230985940415924,0.0389089735375884,0.163745542958531,0.317996454715864,0.195473726175,141,0.341157617075,40,"other","Bein","leg"
"28","beneden","gesture",0.599727709265981,0.0458682110716975,0.5099851290989,0.685547714920929,0.5360202085,103,0.535888895377193,101,"spatial","unten","down"
"29","beneden","multimodal",0.650875124720695,0.0410707477402028,0.565904316553056,0.725141096552507,0.710654126210526,59,0.535888895377193,101,"spatial","unten","down"
"30","beneden","vocal",0.208855539078344,0.032844659012395,0.151276514163244,0.282412268755501,0.174765230833333,160,0.535888895377193,101,"spatial","unten","down"
"31","berg","gesture",0.622164889373357,0.0384830003558634,0.541005907159747,0.69675961407978,0.631404694928571,73,0.399789512065909,22,"environment","Berg","mountain"
"32","berg","multimodal",0.63524215995109,0.038243216352222,0.558085105812339,0.70684496268156,0.670873185090909,72,0.399789512065909,22,"environment","Berg","mountain"
