"","word","modality","avg_expressibility_norm","n","diff_expr","diff_rank"
"455","uit","multimodal",0.331217088631579,169,0.216571989894385,28
"456","uit","vocal",0.136704256764706,188,0.216571989894385,28
"457","vallen","gesture",0.738064749761905,45,0.345682841322619,8
"458","vallen","multimodal",0.751882935547619,50,0.345682841322619,8
"459","vallen","vocal",0.406200094225,53,0.345682841322619,8
"460","vangen","gesture",0.7917921535,32,0.511406517875,55
"461","vangen","multimodal",0.729664307285714,57,0.511406517875,55
"462","vangen","vocal",0.280385635625,87,0.511406517875,55
"463","vechten","gesture",0.870517094704545,8,0.340120038329545,28
"464","vechten","multimodal",0.85484714697619,12,0.340120038329545,28
"465","vechten","vocal",0.530397056375,36,0.340120038329545,28
"466","veel","gesture",0.534795017714286,104,0.257887827805195,30
"467","veel","multimodal",0.49862924297619,121,0.257887827805195,30
"468","veel","vocal",0.276907189909091,91,0.257887827805195,30
"469","ver","gesture",0.595378177666667,80,0.266017151591667,46
"470","ver","multimodal",0.51796373885,116,0.266017151591667,46
"471","ver","vocal",0.329361026075,70,0.266017151591667,46
"472","verbranden","gesture",0.594430429225,81,0.212562620175,52
"473","verbranden","multimodal",0.5353645434,112,0.212562620175,52
"474","verbranden","vocal",0.38186780905,60,0.212562620175,52
"475","verbrijzelen","gesture",0.344930306119048,162,0.139117993736905,53
"476","verbrijzelen","multimodal",0.387037457761905,162,0.139117993736905,53
"477","verbrijzelen","vocal",0.247919464025,109,0.139117993736905,53
"478","verdrietig","gesture",0.839827632681818,20,0.127224357698413,13
"479","verdrietig","multimodal",0.879087622809524,7,0.127224357698413,13
"480","verdrietig","vocal",0.751863265111111,16,0.127224357698413,13
"481","vergeten","gesture",0.443380386714286,133,0.263433708774892,25
"482","vergeten","multimodal",0.515331563547619,117,0.263433708774892,25
"483","vergeten","vocal",0.251897854772727,108,0.263433708774892,25
"484","verleden","gesture",0.215977941333333,195,0.103383595070175,5
"485","verleden","multimodal",0.198563567,200,0.103383595070175,5
"486","verleden","vocal",0.112594346263158,195,0.103383595070175,5
"487","vermalen","gesture",0.377497459595238,151,0.17109663395119,80
"488","vermalen","multimodal",0.50005946847619,119,0.17109663395119,80
"489","vermalen","vocal",0.328962834525,71,0.17109663395119,80
"490","verrot","gesture",0.233353999944444,187,0.0791135819555556,74
"491","verrot","multimodal",0.3124675819,175,0.0791135819555556,74
"492","verrot","vocal",0.239404408105263,113,0.0791135819555556,74
"493","verschillend","gesture",0.222205940421053,190,0.18196264675119,22
"494","verschillend","multimodal",0.33187967097619,168,0.18196264675119,22
"495","verschillend","vocal",0.149917024225,180,0.18196264675119,22
"496","verstoppen","gesture",0.707957799785714,51,0.569646936766667,116
"497","verstoppen","multimodal",0.7401521776,52,0.569646936766667,116
"498","verstoppen","vocal",0.170505240833333,167,0.569646936766667,116
"499","verzamelen","gesture",0.497726475928571,119,0.268165591380952,13
"500","verzamelen","multimodal",0.525270910952381,114,0.268165591380952,13
"501","verzamelen","vocal",0.257105319571429,106,0.268165591380952,13
"502","vijand","gesture",0.390800527309524,147,0.121543180642857,76
"503","vijand","multimodal",0.321204308952381,172,0.121543180642857,76
"504","vijand","vocal",0.269257346666667,96,0.121543180642857,76
"505","vis","gesture",0.67667489865,59,0.281056782991342,21
"506","vis","multimodal",0.800916109309524,39,0.281056782991342,21
"507","vis","vocal",0.519859326318182,38,0.281056782991342,21
"508","vlees","gesture",0.317190455363636,165,0.160893374525,7
"509","vlees","multimodal",0.327717867025,170,0.160893374525,7
"510","vlees","vocal",0.1668244925,172,0.160893374525,7
"511","vleugel","gesture",0.658794943404762,62,0.43177962397619,55
"512","vleugel","multimodal",0.666378182214286,75,0.43177962397619,55
"513","vleugel","vocal",0.234598558238095,117,0.43177962397619,55
"514","vlieg","gesture",0.561928857525,91,0.153090569070238,59
"515","vlieg","multimodal",0.715019426595238,58,0.153090569070238,59
"516","vlieg","vocal",0.575967291761905,32,0.153090569070238,59
"517","vliegen","gesture",0.889568513386364,5,0.448204737314935,41
"518","vliegen","multimodal",0.813584518625,28,0.448204737314935,41
"519","vliegen","vocal",0.441363776071429,46,0.448204737314935,41
"520","vlinder","gesture",0.763465541052632,39,0.570681533277631,105
"521","vlinder","multimodal",0.705187858785714,61,0.570681533277631,105
"522","vlinder","vocal",0.192784007775,144,0.570681533277631,105
"523","voelen","gesture",0.525623421694444,108,0.443574440035714,75
"524","voelen","multimodal",0.616834024785714,87,0.443574440035714,75
"525","voelen","vocal",0.17325958475,162,0.443574440035714,75
"526","voet","gesture",0.553646742166667,94,0.360965746377193,44
"527","voet","multimodal",0.558588471710526,108,0.360965746377193,44
"528","voet","vocal",0.197622725333333,138,0.360965746377193,44
"529","vogel","gesture",0.819223133761905,26,0.186042139706349,2
"530","vogel","multimodal",0.817080250840909,27,0.186042139706349,2
"531","vogel","vocal",0.633180994055556,28,0.186042139706349,2
"532","vooraan","gesture",0.448999617861111,132,0.31240965537987,41
"533","vooraan","multimodal",0.478811308357143,132,0.31240965537987,41
"534","vooraan","vocal",0.166401652977273,173,0.31240965537987,41
"535","vork","gesture",0.57610166297619,87,0.526304230595238,111
"536","vork","multimodal",0.663985429952381,76,0.526304230595238,111
"537","vork","vocal",0.137681199357143,187,0.526304230595238,111
"538","vriend","gesture",0.410923822238095,140,0.327893014165476,46
"539","vriend","multimodal",0.498744884190476,120,0.327893014165476,46
"540","vriend","vocal",0.170851870025,166,0.327893014165476,46
"541","vrouw","gesture",0.637298436357143,68,0.239986945482143,24
"542","vrouw","multimodal",0.646054887125,78,0.239986945482143,24
"543","vrouw","vocal",0.406067941642857,54,0.239986945482143,24
"544","vuur","gesture",0.626727369973684,74,0.287922512648684,21
"545","vuur","multimodal",0.612604004619048,88,0.287922512648684,21
"546","vuur","vocal",0.338804857325,67,0.287922512648684,21
"547","walgen","gesture",0.540616415880952,100,0.167941671238095,77
"548","walgen","multimodal",0.708558087119048,60,0.167941671238095,77
"549","walgen","vocal",0.692981785631579,23,0.167941671238095,77
"550","wanneer","gesture",0.315223391690476,167,0.143821939304113,22
"551","wanneer","multimodal",0.291615195238095,187,0.143821939304113,22
"552","wanneer","vocal",0.171401452386364,165,0.143821939304113,22
"553","wat","gesture",0.303780495409091,172,0.098073594243083,114
"554","wat","multimodal",0.401854089652174,159,0.098073594243083,114
"555","wat","vocal",0.385067645818182,58,0.098073594243083,114
"556","water","gesture",0.57595295225,88,0.058739665275,70
"557","water","multimodal",0.547426856190476,109,0.058739665275,70
"558","water","vocal",0.517213286975,39,0.058739665275,70
"559","weten","gesture",0.531240106295455,105,0.229244785928571,41
