"","word","modality","avg_expressibility_norm","n","diff_expr","diff_rank"
"207","huilen","vocal",0.85183381325,4,0.01826755135,12
"208","huis","gesture",0.722037498886364,48,0.549018575748684,82
"209","huis","multimodal",0.756418594275,48,0.549018575748684,82
"210","huis","vocal",0.207400018526316,130,0.549018575748684,82
"211","ik","gesture",0.708613995977273,50,0.386883301677273,22
"212","ik","multimodal",0.680604769125,68,0.386883301677273,22
"213","ik","vocal",0.3217306943,72,0.386883301677273,22
"214","in","gesture",0.44906576752381,131,0.285395609471178,44
"215","in","multimodal",0.429028977181818,151,0.285395609471178,44
"216","in","vocal",0.163670158052632,175,0.285395609471178,44
"217","jagen","gesture",0.657882137214286,64,0.458318778391667,36
"218","jagen","multimodal",0.735429543225,54,0.458318778391667,36
"219","jagen","vocal",0.277110764833333,90,0.458318778391667,36
"220","jeuk","gesture",0.888748077931818,6,0.472417546265152,44
"221","jeuk","multimodal",0.878195253975,8,0.472417546265152,44
"222","jeuk","vocal",0.416330531666667,50,0.472417546265152,44
"223","jij","gesture",0.560162717785714,92,0.32696788552381,53
"224","jij","multimodal",0.449050867275,145,0.32696788552381,53
"225","jij","vocal",0.233194832261905,118,0.32696788552381,53
"226","kat","gesture",0.667420333809524,61,0.21966841960352,58
"227","kat","multimodal",0.821306248547619,25,0.21966841960352,58
"228","kat","vocal",0.887088753413043,3,0.21966841960352,58
"229","kauwen","gesture",0.704450283975,53,0.124962421425,38
"230","kauwen","multimodal",0.8294127054,21,0.124962421425,38
"231","kauwen","vocal",0.7594036156,15,0.124962421425,38
"232","kind","gesture",0.543520229225,97,0.145503480854637,54
"233","kind","multimodal",0.587085581973684,99,0.145503480854637,54
"234","kind","vocal",0.441582101119048,45,0.145503480854637,54
"235","kleding","gesture",0.494909243710526,121,0.390769782032895,36
"236","kleding","multimodal",0.603747383657895,91,0.390769782032895,36
"237","kleding","vocal",0.212977601625,127,0.390769782032895,36
"238","klein","gesture",0.82393333795,24,0.5481549898,68
"239","klein","multimodal",0.809196696673913,32,0.5481549898,68
"240","klein","vocal",0.27577834815,92,0.5481549898,68
"241","knie","gesture",0.381211032525,149,0.313391666142857,51
"242","knie","multimodal",0.406674049880952,155,0.313391666142857,51
"243","knie","vocal",0.0932823837380952,200,0.313391666142857,51
"244","knopen","gesture",0.484352516880952,122,0.306843192428571,36
"245","knopen","multimodal",0.4652889203,138,0.306843192428571,36
"246","knopen","vocal",0.177509324452381,158,0.306843192428571,36
"247","komen","gesture",0.4022516599,143,0.119088763329762,76
"248","komen","multimodal",0.438133063925,149,0.119088763329762,76
"249","komen","vocal",0.319044300595238,73,0.119088763329762,76
"250","kort","gesture",0.651223596447368,66,0.454434273372368,73
"251","kort","multimodal",0.602921879404762,92,0.454434273372368,73
"252","kort","vocal",0.196789323075,139,0.454434273372368,73
"253","kotsen","gesture",0.806750699714286,29,0.0758189501428571,23
"254","kotsen","multimodal",0.882569649857143,6,0.0758189501428571,23
"255","kotsen","vocal",0.835129858309524,6,0.0758189501428571,23
"256","koud","gesture",0.908161665619048,1,0.148044496187229,30
"257","koud","multimodal",0.809640792894737,31,0.148044496187229,30
"258","koud","vocal",0.760117169431818,14,0.148044496187229,30
"259","kruipen","gesture",0.850389842575,18,0.636223726311842,107
"260","kruipen","multimodal",0.805883233394737,35,0.636223726311842,107
"261","kruipen","vocal",0.214166116263158,125,0.636223726311842,107
"262","laag (ruimtelijk)","gesture",0.695325264704545,56,0.511122175136364,97
"263","laag (ruimtelijk)","multimodal",0.59788202535,95,0.511122175136364,97
"264","laag (ruimtelijk)","vocal",0.184203089568182,153,0.511122175136364,97
"265","lachen","gesture",0.840261201931818,19,0.0682701307045455,18
"266","lachen","multimodal",0.886460939815789,3,0.0682701307045455,18
"267","lachen","vocal",0.908531332636364,1,0.0682701307045455,18
"268","lang","gesture",0.778863143477273,36,0.625681265361111,134
"269","lang","multimodal",0.794333181333333,41,0.625681265361111,134
"270","lang","vocal",0.168651915972222,170,0.625681265361111,134
"271","langzaam","gesture",0.700859430404762,54,0.350402565354762,15
"272","langzaam","multimodal",0.678570710047619,69,0.350402565354762,15
"273","langzaam","vocal",0.35045686505,65,0.350402565354762,15
"274","lepel","gesture",0.73986617581579,44,0.578266400482456,133
"275","lepel","multimodal",0.658632958375,77,0.578266400482456,133
"276","lepel","vocal",0.161599775333333,177,0.578266400482456,133
"277","levend","gesture",0.348091309909091,161,0.127331931261364,73
"278","levend","multimodal",0.405838855886364,156,0.127331931261364,73
"279","levend","vocal",0.278506924625,88,0.127331931261364,73
"280","lever","gesture",0.268061138194444,178,0.203919136126263,24
"281","lever","multimodal",0.291634256444444,186,0.203919136126263,24
"282","lever","vocal",0.0877151203181818,202,0.203919136126263,24
"283","licht","gesture",0.458000099722222,129,0.278861264153571,23
"284","licht","multimodal",0.463631279428571,140,0.278861264153571,23
"285","licht","vocal",0.184770015275,152,0.278861264153571,23
"286","likken","gesture",0.747621146214286,41,0.125923734527381,19
"287","likken","multimodal",0.824968848575,23,0.125923734527381,19
"288","likken","vocal",0.699045114047619,22,0.125923734527381,19
