"word","modality","expressibility","SemanticCat","PoS","response_time","trial_start_time","end_time","duration","exp_ID","age","gender","natlang1","natlang2","natlang3","dialect","lang1","proficiency1","lang2","proficiency2","lang3","proficiency3","lang4","proficiency4","lang5","proficiency5","country","education","dyslexia","mobility","currentloc","sensorypref","file"
"aanraken","multimodal",-0.49179149,"sensory","noun",3.3444,211.783199999988,533.340099999964,321.556899999976,"340639",18,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"2","340639_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.398148092,"sensory","noun",4.5847,126.742899999857,2568.61220000005,2441.86930000019,"82395",21,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","082395_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.915,"sensory","noun",4.5558,141.624800000012,500.410599999964,358.785799999952,"763396",18,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",3,2,2,1,"5","763396_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.592592706,"sensory","noun",3.8508,239.011600000381,752.5725,513.560899999619,"565463",21,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"2","565463_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.511111083,"sensory","noun",5.2082,230.586,620.230099999994,389.644099999994,"s1115009",18,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"14","s1115009_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.605555556,"sensory","noun",4.049,178.724399999998,664.674800000001,485.950400000002,"655373",20,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",2,1,2,1,"5","655373_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.519134775,"sensory","noun",37.0655,132.107,483.949299999997,351.842299999997,"451080",18,2,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,5,"2","451080_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.944444444,"sensory","noun",34.3235,412.25,1334.54410000002,922.294100000023,"643606",19,2,"nederlands",NA,NA,NA,"engels",3,"frans",2,"duits",1,NA,0,NA,0,"NL",3,2,2,1,"2","643606_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.912963019,"sensory","noun",4.3925,219.858100000024,500.457400000095,280.599300000072,"855539",18,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,"spaans",1,NA,0,NA,0,"NL",3,2,2,5,"2","855539_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.977777834,"sensory","noun",2.1878,132.518,476.114,343.596,"91943",23,1,"nederlands",NA,NA,NA,"servo-kroatisch",3,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","091943_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.239130435,"sensory","noun",2.978,183.838,507.113,323.275,"882595",18,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,"frans",0,NA,0,NA,0,"NL",6,2,2,1,"5","882595_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.440740797,"sensory","noun",4.6712,208.023,798.648100000024,590.625100000024,"691019",23,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"1","691019_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.908888889,"sensory","noun",2.736,127.344,390.828,263.484,"103112",21,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,NA,0,NA,0,"NL",6,2,2,5,"2","103112_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.544444473,"sensory","noun",7.5982,212.579599999905,845.161299999952,632.581700000047,"667083",20,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"2","667083_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.092592706,"sensory","noun",2.4565,139.740600000381,454.817100000381,315.0765,"402696",19,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","402696_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.401851908,"sensory","noun",8.0381,170.1745,625.207400000096,455.032900000096,"486236",19,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,4,"2","486236_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.886574074,"sensory","noun",3.62,158.211,667.735,509.524,"709847",23,1,"nederlands",NA,NA,NA,"engels",3,"spaans",2,"duits",1,NA,0,NA,0,"NL",6,2,2,5,"6","709847_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.260299615,"sensory","noun",4.8929,190.41,561.7771,371.3671,"451372",22,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",4,2,2,1,"5","451372_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.277777778,"sensory","noun",14.2794,164.472400000006,482.2055,317.733099999994,"587224",20,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"1","587224_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.816762153,"sensory","noun",15.7421,360.867300000012,1703.81399999994,1342.94669999993,"988082",19,1,"nederlands",NA,NA,NA,"engels",3,"frans",2,"duits",1,NA,0,NA,0,"NL",6,2,2,1,"14","988082_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.512963048,"sensory","noun",2.3095,135.944899999976,403.680399999976,267.7355,"141475",21,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,NA,0,NA,0,"NL",6,2,2,1,"11","141475_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.948148092,"sensory","noun",7.2615,255.196,866.832900000095,611.636900000095,"584698",18,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,"noors",1,NA,0,"NL",6,2,2,5,"5","584698_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.679629573,"sensory","noun",9.0958,230.586,620.230099999994,389.644099999994,"s1115009",18,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"14","s1115009_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.713252996,"sensory","noun",4.255,181.757,652.485299999714,470.728299999714,"964680",18,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,"frans",1,NA,0,NA,0,"NL",2,2,2,1,"1","964680_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.803703661,"sensory","noun",5.3328,218.173100000143,583.064199999809,364.891099999666,"764459",18,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","764459_flesh_expressibility_dutch.csv"
"aanraken","multimodal",-0.001851824,"sensory","noun",1.3024,115.845099999428,279.4935,163.648400000572,"443948",18,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,5,"1","443948_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.164814758,"sensory","noun",2.8987,104.0265,528.337700000048,424.311200000048,"773077",21,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",7,2,2,1,"2","773077_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.903333333,"sensory","noun",5.7693,210.0975,623.908,413.8105,"919664",18,1,"nederlands",NA,NA,NA,"engels",1,"duits",2,NA,0,NA,0,NA,0,"NL",3,2,1,1,"5","919664_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.986423611,"sensory","noun",2.9525,137.546799999997,522.547599999994,385.000799999997,"371375",18,3,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,2,"2","371375_flesh_expressibility_dutch.csv"
"aanraken","vocal",0.12244898,"sensory","noun",2.752,122.508,288.985,166.477,"628540",19,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"BE",3,2,2,1,"1","628540_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.247826087,"sensory","noun",3.659,166.985,484.526,317.541,"188593",19,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,NA,0,NA,0,"NL",6,2,2,5,"5","188593_flesh_expressibility_dutch.csv"
"aanraken","multimodal",-0.770714867,"sensory","noun",1.7288,46.1336999999881,239.6835,193.549800000012,"371560",18,1,"nederlands",NA,NA,NA,NA,0,NA,2,NA,0,NA,0,NA,0,"NL",3,2,2,1,"11","371560_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.347391516,"sensory","noun",2.821,274.598800000012,624.216699999988,349.617899999976,"735981",18,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,5,"2","735981_flesh_expressibility_dutch.csv"
"aanraken","gesture",-0.001273777,"sensory","noun",7.6432,191.107799999952,984.0435,792.935700000048,"785142",19,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"1","785142_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.537777778,"sensory","noun",3.755,132.152,479.72,347.568,"224118",18,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"2","224118_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.294444473,"sensory","noun",2.7134,136.658299999952,396.756800000072,260.098500000119,"860403",20,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,3,"9","860403_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.482717014,"sensory","noun",3.9399,164.5345,426.880699999988,262.346199999988,"77667",20,1,"nederlands",NA,NA,NA,"hindoestaans",2,"engels",2,"duits",1,NA,0,NA,0,"NL",6,2,2,5,"5","077667_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.959140625,"sensory","noun",11.891,360.867300000012,1703.81399999994,1342.94669999993,"988082",19,1,"nederlands",NA,NA,NA,"engels",3,"frans",2,"duits",1,NA,0,NA,0,"NL",6,2,2,1,"14","988082_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.406666667,"sensory","noun",2.261,115.721,287.45,171.729,"493085",21,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",7,2,2,1,"3","493085_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.907407407,"sensory","noun",10.2424,370.744,979.987400000572,609.243400000572,"590091",21,1,"nederlands",NA,NA,NA,"duits",3,"engels",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","590091_flesh_expressibility_dutch.csv"
"aanraken","multimodal",1,"sensory","noun",4.0422,139.6885,476.008700000003,336.320200000003,"784091",18,1,"nederlands",NA,NA,NA,"engels",0,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","784091_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.122395833,"sensory","noun",0.1205,59.894,434.556600000024,374.662600000024,"336167",18,1,"nederlands",NA,NA,NA,"engels",3,"frans",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","336167_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.32222225,"sensory","noun",4.6201,180.7685,629.2249,448.4564,"665830",19,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"1","665830_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.742592706,"sensory","noun",5.4775,166.7525,594.256200000048,427.503700000048,"265443",18,1,"nederlands",NA,NA,NA,"syrisch",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,4,"2","265443_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.890740712,"sensory","noun",3.0183,194.018,640.4255,446.4075,"823059",18,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"2","823059_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.391521197,"sensory","noun",10.103,152.755,1037.346,884.591,"342451",18,1,"nederlands",NA,NA,NA,"engels",3,"spaans",2,"duits",1,NA,0,NA,0,"NL",2,2,2,1,"5","342451_flesh_expressibility_dutch.csv"
"aanraken","gesture",0.43703715,"sensory","noun",3.917,200.592,749.9686,549.3766,"535162",25,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",7,2,2,2,"5","535162_flesh_expressibility_dutch.csv"
