"concept","combined_1","gesture_1","vocal_1","combined_2","gesture_2","vocal_2"
"I",13,13,17,20,20,21
"angry",14,11,7,13,14,29
"big",11,10,14,22,24,26
"bird",13,12,13,14,18,23
"bitter",12,12,10,33,28,42
"buzz",19,10,14,12,39,23
"cat",11,8,15,12,23,9
"child",7,7,14,37,39,23
"cold",10,13,11,14,10,14
"dead",13,15,14,18,9,23
"disgusted",11,8,16,33,38,20
"dog",13,11,12,10,22,11
"egg",6,8,12,33,33,30
"far",11,13,15,27,19,30
"fast",12,14,11,21,22,27
"female",14,13,7,20,20,51
"fire",11,13,13,28,19,33
"fish",13,10,11,11,22,22
"fly",10,12,10,34,30,36
"good",10,13,13,17,14,33
"happy",7,10,12,33,21,24
"heavy",14,12,9,17,18,30
"high",11,12,13,24,23,32
"horn",8,14,13,39,20,30
"hot",11,13,11,18,23,38
"lightning",6,12,8,36,26,45
"loud",18,12,9,15,33,42
"male",10,13,7,30,24,46
"maybe",7,12,8,43,30,48
"mountain",13,7,14,17,36,30
"not",15,11,10,27,36,39
"odor",12,13,6,28,23,47
"old",18,11,15,6,19,26
"rain",10,9,12,16,21,25
"sad",8,13,8,34,20,39
"salt",13,9,12,26,29,36
"scared",10,9,12,21,20,28
"sharp",11,9,15,37,37,24
"sick",13,9,14,11,23,20
"silent",11,6,13,20,25,16
"slow",17,8,7,14,27,46
"small",15,11,13,16,13,32
"snake",11,11,19,15,31,10
"sour",10,16,11,29,22,36
"squeak",12,10,9,34,40,31
"strong",15,10,10,9,15,32
"sweet",17,11,13,17,33,35
"tail",11,10,15,25,21,24
"thick",11,13,11,18,13,34
"thunder",11,12,13,30,22,31
"to bite",14,12,8,15,12,42
"to blow",10,10,12,19,17,15
"to breathe",12,13,5,16,14,34
"to burn",14,17,14,20,16,19
"to catch",7,12,8,26,14,41
"to chew",10,7,11,21,31,33
"to crawl",12,12,12,18,18,28
"to cry",13,8,13,11,20,15
"to drink",11,13,10,12,10,15
"to eat",13,10,9,12,14,28
"to fall",13,12,10,13,14,27
"to fight",11,13,8,18,18,33
"to fly",10,14,17,14,10,20
"to give",11,5,9,18,27,44
"to growl",17,11,13,14,30,21
"to hear",11,10,14,25,22,30
"to hit",14,13,8,12,11,33
"to hunt",10,11,7,34,25,45
"to jump",11,12,12,21,15,25
"to know",15,10,13,26,42,24
"to laugh",13,17,12,11,6,14
"to lick",12,12,10,13,12,26
"to run",11,13,13,21,10,25
"to sleep",9,16,12,14,8,13
"to smell",13,12,9,12,13,21
"to stand",10,11,15,33,19,27
"to suck",8,17,15,33,14,22
"to swim",10,14,15,12,10,25
"to throw",11,12,15,15,11,21
"to vomit",14,12,13,18,21,17
"to walk",11,14,9,26,15,37
"to whisper",9,12,13,17,19,11
"water",10,12,13,30,25,30
"wind",10,13,12,18,20,16
