Unnamed: 0,trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity,guess_binary,expressibility_dutch,SemanticSubcat,filename
22,23,target,0,onweer,gebaren,onweer,0,10_1,1,10,1,thunder,1.0,1,0.397074838511763,environment,10_1_trial_22_p0_onweer_gebaren_final.avi
23,24,target,0,vangen,gebaren,vangen,0,10_1,1,10,1,to catch,1.0,1,0.747603541088915,manual,10_1_trial_23_p0_vangen_gebaren_final.avi
24,25,target,0,kauwen,gebaren,kauwen,0,10_1,1,10,1,to chew,1.0,1,0.732601016130094,gustatory,10_1_trial_24_p0_kauwen_gebaren_final.avi
25,26,target,0,vliegen,gebaren,vliegen,0,10_1,1,10,1,to fly,1.0,1,0.833642786833868,locomotion,10_1_trial_25_p0_vliegen_gebaren_final.avi
26,27,target,0,staan,gebaren,staan,0,10_1,1,10,1,to stand,1.0,1,0.607218233017746,locomotion,10_1_trial_26_p0_staan_gebaren_final.avi
27,28,practice,1,auto,gebaren,rijden,0,10_1,1,10,2,car,0.484,0,,,10_1_pr_27_p1_auto_gebaren_final.avi
28,29,practice,1,leeg,gebaren,leeg,0,10_1,1,10,2,empty,1.0,1,,,10_1_pr_28_p1_leeg_gebaren_final.avi
29,30,target,1,groot,gebaren,hoog,0,10_1,1,10,2,big,0.448,0,0.75757088404005,quantity,10_1_trial_29_p1_groot_gebaren_final.avi
30,31,target,1,bitter,gebaren,vies,0,10_1,1,10,2,bitter,0.417,0,0.292422929920138,gustatory,10_1_trial_30_p1_bitter_gebaren_final.avi
31,32,target,1,koud,gebaren,koud,0,10_1,1,10,2,cold,1.0,1,0.847021849271004,temperature,10_1_trial_31_p1_koud_gebaren_final.avi
32,33,target,1,hond,gebaren,hond,0,10_1,1,10,2,dog,1.0,1,0.702295683196924,animal,10_1_trial_32_p1_hond_gebaren_final.avi
33,34,target,1,ei,gebaren,kip,0,10_1,1,10,2,egg,0.541,0,0.545621192753626,object,10_1_trial_33_p1_ei_gebaren_final.avi
34,35,target,1,vrouw,gebaren,lichaam,0,10_1,1,10,2,female,0.197,0,0.646814871143661,animate,10_1_trial_34_p1_vrouw_gebaren_final.avi
