ID,exp_start,block_start,practice,cycle,display_start,trial_start,trial_end,RT,word,modality,correction,answer,points
1,631.5737466999999,690.4262685000003,practice,0,758.8529943000003,760.4607635000002,772.8124773999998,779.6914766999998,gek,gebaren,,gek,0
1,631.5737466999999,690.4262685000003,practice,0,779.7185268000003,784.0109887999997,790.4301113000001,793.1518016,bloem,gebaren,,bloem,0
1,631.5737466999999,690.4262685000003,none,0,841.2142832,845.2657345999996,845.9478296999996,849.1683239000004,ik,gebaren,,ik,1
1,631.5737466999999,690.4262685000003,none,0,849.1918568000001,854.9116625999995,860.6064343999997,866.4791576999996,walgen,gebaren,,overgeven,0
1,631.5737466999999,690.4262685000003,none,0,866.4998613999996,901.7912416999998,907.1683389,914.6945851,ei,gebaren,,poepen,0
1,631.5737466999999,690.4262685000003,none,0,914.7161435999997,916.6812916999997,920.2894358000003,925.6129665999997,hoog,gebaren,,lucht,0
1,631.5737466999999,690.4262685000003,none,0,925.6344933999999,927.5338327,931.4217965999997,933.7558559999998,drinken,gebaren,,drinken,1
1,631.5737466999999,690.4262685000003,none,0,933.7776599999997,935.4488521000003,938.7294861,941.6237305000004,lachen,gebaren,,lachen,1
1,631.5737466999999,690.4262685000003,none,0,941.6465029000001,943.1797551,949.0160336999998,951.8752064999999,slapen,gebaren,,slapen,1
1,631.5737466999999,690.4262685000003,practice,1,1070.2459643000002,1085.1051718999997,1086.4410220999998,1092.4455967000004,haasten,gebaren,,hardlopen,0
1,631.5737466999999,690.4262685000003,practice,1,1092.4762334999996,1096.0570436999997,1100.1036111000003,1102.6138116000002,knippen,gebaren,,knippen,0
1,631.5737466999999,690.4262685000003,none,1,1110.6315102999997,1121.0984261000003,1124.3947932,1128.3427855999998,luidruchtig,gebaren,,scrheeuwen,0
1,631.5737466999999,690.4262685000003,none,1,1128.3633195000002,1132.4733311,1135.4434026,1142.0694762000003,niet,gebaren,,nee,0
1,631.5737466999999,690.4262685000003,none,1,1142.0909438999997,1146.7097488999998,1150.2988543000001,1154.0048795000002,dik,gebaren,,taille,0
1,631.5737466999999,690.4262685000003,none,1,1154.0273447,1156.3729529000002,1160.2208443,1163.0394657999996,vliegen,gebaren,,vliegen,1
1,631.5737466999999,690.4262685000003,none,1,1163.0595936999998,1167.3029396000002,1169.8772099999996,1172.1249993000001,springen,gebaren,,springen,1
1,631.5737466999999,690.4262685000003,none,1,1172.1457817,1174.8949565000003,1178.0326053,1181.7089016999998,kotsen,gebaren,,walgen,0
1,631.5737466999999,690.4262685000003,none,1,1181.7290568999997,1186.8728370999997,1190.6733144999998,1194.3524619999998,wind,gebaren,,vallen,0
1,631.5737466999999,1198.7484384999998,practice,0,1283.7681566,1289.3944474999998,1294.9334353000004,1298.0842726,olifant,combinatie,,olifant,0
1,631.5737466999999,1198.7484384999998,practice,0,1298.1150838000003,1300.9129544999996,1305.7245483999995,1313.5865739,auto,combinatie,,autorijden,0
1,631.5737466999999,1198.7484384999998,none,0,1317.8968765,1320.6961091000003,1324.847159,1326.5802003999997,kat,combinatie,,kat,1
1,631.5737466999999,1198.7484384999998,none,0,1326.6034728000004,1333.3515279000003,1342.1555904999996,1347.9999937000002,vrouw,combinatie,,vrouw,1
1,631.5737466999999,1198.7484384999998,none,0,1348.0238771000004,1352.9230776000004,1359.4910714999996,1362.7105303999997,zwaar,combinatie,,dik,0
1,631.5737466999999,1198.7484384999998,none,0,1362.7315091,1365.8330556,1371.9845077,1377.4126022,man,combinatie,,sterk,0
