ID,exp_start,block_start,practice,cycle,display_start,trial_start,trial_end,RT,word,modality,correction,answer,points
35,9.778322399999524,749.3967653,practice,0,896.3183666999994,899.6391741999996,906.1492816999998,914.3442419999992,bloem,combinatie,,wolk,0
35,9.778322399999524,749.3967653,practice,0,914.3959560000003,919.2722945999994,924.1398062999997,937.8642916999997,comfortabel,combinatie,,koud,0
35,9.778322399999524,749.3967653,none,0,971.9544478999996,980.4901957999991,987.5803534999995,999.1483047000002,ver,combinatie,,indruk,0
35,9.778322399999524,749.3967653,none,0,999.183267299999,1005.695468599999,1010.9726018999991,1016.2674303000003,oud,combinatie,,rugpijn,0
35,9.778322399999524,749.3967653,none,0,1016.3111341000003,1019.0063283,1023.8617536999991,1027.6443452000003,drinken,combinatie,,drinken,1
35,9.778322399999524,749.3967653,none,0,1027.6794045999995,1029.106580399999,1033.0580415999993,1038.1040235,vechten,combinatie,,vechten,1
35,9.778322399999524,749.3967653,none,0,1038.1477133999997,1040.2090418000007,1043.8081770999997,1048.5055546999993,grommen,combinatie,,grommen,1
35,9.778322399999524,749.3967653,none,0,1048.5492646999992,1050.3756885999992,1055.4227503999991,1058.3570696999996,horen,combinatie,,luisteren,0
35,9.778322399999524,749.3967653,none,0,1058.3924551,1060.3734086999993,1063.6225150999999,1073.6675916000004,lachen,combinatie,,lachen,1
35,9.778322399999524,749.3967653,practice,1,1200.4631895999992,1202.0541133000006,1214.1237751999997,1219.4807481999997,leeg,combinatie,,kom,0
35,9.778322399999524,749.3967653,practice,1,1219.5326595999995,1221.1615070999997,1226.4759709999998,1229.549197299999,haasten,combinatie,,rennen,0
35,9.778322399999524,749.3967653,none,1,1256.1297331999995,1261.0944115999991,1267.1258290999995,1274.9138968000007,walgen,combinatie,,ranzig,0
35,9.778322399999524,749.3967653,none,1,1274.9567473000006,1279.4538842000002,1284.5741550999992,1289.7491360000004,blij,combinatie,,blij,1
35,9.778322399999524,749.3967653,none,1,1289.7843204,1294.1409827000007,1300.6835253999998,1302.3594682999992,zwaar,combinatie,,tillen,0
35,9.778322399999524,749.3967653,none,1,1302.3947487999994,1304.5660752000003,1313.1349687999991,1317.3283553,man,combinatie,,gespierd,0
35,9.778322399999524,749.3967653,none,1,1317.3635969999996,1321.5012016,1326.0578750000004,1328.6800180999999,niet,combinatie,,fout,0
35,9.778322399999524,749.3967653,none,1,1328.7151319000004,1331.8742407999998,1337.8719923999997,1340.1316857000002,dik,combinatie,,dik,1
35,9.778322399999524,749.3967653,none,1,1340.1668217000006,1344.279029899999,1349.4508729999998,1351.3083079000007,ruiken,combinatie,,ruiken,1
35,9.778322399999524,1355.1941387999996,practice,0,1458.9590279000004,1463.0352094999998,1468.8873220000005,1472.492612099999,knippen,gebaren,,knippen,0
35,9.778322399999524,1355.1941387999996,practice,0,1472.5362893000001,1474.9790369999992,1478.8837953000002,1482.7191963999994,dansen,gebaren,,dansen,0
35,9.778322399999524,1355.1941387999996,none,0,1484.8634132999996,1487.773466999999,1493.9471113,1503.0972646999999,bitter,gebaren,,bubbelen,0
35,9.778322399999524,1355.1941387999996,none,0,1503.1322870000004,1504.8395586999995,1510.6459658000003,1532.7766007999999,hoorn,gebaren,,blazen,0
35,9.778322399999524,1355.1941387999996,none,0,1532.8202927999992,1535.7936714000007,1543.9746878000005,1560.0139543000005,luidruchtig,gebaren,,luisteren,0
35,9.778322399999524,1355.1941387999996,none,0,1560.0572135000002,1562.5854603000007,1567.4282731999992,1571.282272299999,misschien,gebaren,,afvragen,0
35,9.778322399999524,1355.1941387999996,none,0,1571.3180085999993,1575.2512948000003,1584.2109388999997,1588.8598934000001,slaan,gebaren,,neerslaan,0
35,9.778322399999524,1355.1941387999996,none,0,1588.8947212999992,1592.537359,1597.5322682000005,1603.0952698,staan,gebaren,,neerzetten,0
35,9.778322399999524,1355.1941387999996,none,0,1603.1304571,1605.738634899999,1609.9064885999996,1612.7550647999997,gooien,gebaren,,gooien,1
35,9.778322399999524,1355.1941387999996,practice,1,1676.0161513000003,1677.5107274999991,1686.5714069999995,1689.0745155999994,koken,gebaren,,bakken,0
35,9.778322399999524,1355.1941387999996,practice,1,1689.1179701,1690.8965272999994,1696.6825387999997,1698.8426555000005,gek,gebaren,,gek,0
35,9.778322399999524,1355.1941387999996,none,1,1704.4035229,1709.4152711000006,1717.0693458999995,1720.2707979000006,vlieg,gebaren,,vliegen,0
35,9.778322399999524,1355.1941387999996,none,1,1720.3058743000001,1723.0733161999997,1729.5427825999996,1731.7059028000003,heet,gebaren,,heet,1
35,9.778322399999524,1355.1941387999996,none,1,1731.7409664999996,1733.4535168000002,1741.5994976999991,1745.1577534000007,verdrietig,gebaren,,verdrietig,1
35,9.778322399999524,1355.1941387999996,none,1,1745.2016005999994,1747.1584554,1752.7024192999997,1755.4591770000006,bijten,gebaren,,bijten,1
35,9.778322399999524,1355.1941387999996,none,1,1755.5029610000001,1761.6562713000003,1770.1719448000003,1772.2950734999995,verbranden,gebaren,,verbrand,0
35,9.778322399999524,1355.1941387999996,none,1,1772.338385699999,1779.2145127999993,1786.2239286999993,1789.0558433000006,zuigen,gebaren,,zuigen,1
35,9.778322399999524,1355.1941387999996,none,1,1789.0905043999992,1791.9997296000001,1801.7393035999994,1803.4496141,wind,gebaren,,wind,1
35,9.778322399999524,1806.235113499999,practice,0,1923.6855907999998,1926.5785414000002,1932.2711471000002,1948.904310599999,snijden,geluiden,,vegen,0
35,9.778322399999524,1806.235113499999,practice,0,1948.9477788999993,1954.2405342999991,1959.4112067999995,1967.2401986000004,rijk,geluiden,,bellen,0
35,9.778322399999524,1806.235113499999,none,0,1970.034063699999,1973.4190235000005,1980.0522462999998,1997.2782693999998,groot,geluiden,,mooi,0
35,9.778322399999524,1806.235113499999,none,0,1997.3217127000007,2000.2547740999998,2005.6557565999992,2010.0215879000007,zoemen,geluiden,,bij,0
35,9.778322399999524,1806.235113499999,none,0,2010.056735099999,2014.5104362999991,2022.7024447000003,2034.4501027999995,vuur,geluiden,,storm,0
35,9.778322399999524,1806.235113499999,none,0,2034.4935363000004,2037.1452950999992,2043.5758375999994,2048.4855644,bliksem,geluiden,,schieten,0
35,9.778322399999524,1806.235113499999,none,0,2048.5206203,2055.0836273000004,2061.3547411,2068.855196299999,berg,geluiden,,twijfelen,0
35,9.778322399999524,1806.235113499999,none,0,2068.8902560999995,2073.8489420000005,2080.1953594999995,2090.4667427000004,regen,geluiden,,rotsen,0
35,9.778322399999524,1806.235113499999,none,0,2090.5020559999994,2092.8341947999998,2101.4967596000006,2103.268468,zwemmen,geluiden,,wind,0
35,9.778322399999524,1806.235113499999,practice,1,2171.0722535000004,2173.8496488,2180.6813956000005,2184.605449999999,olifant,geluiden,,vliegen,0
35,9.778322399999524,1806.235113499999,practice,1,2184.649009999999,2192.2266041000003,2199.9526986,2204.1751292999998,auto,geluiden,,hoog,0
35,9.778322399999524,1806.235113499999,none,1,2206.7770961000006,2210.5791993000003,2217.0478017999994,2225.5365263000003,ik,geluiden,,instemmen,0
35,9.778322399999524,1806.235113499999,none,1,2225.5795674,2228.731190999999,2234.1420586999993,2242.2139374,boos,geluiden,,nee,0
35,9.778322399999524,1806.235113499999,none,1,2242.2493355000006,2252.4207982999997,2257.7804288000007,2267.2771567,kind,geluiden,,lief,0
35,9.778322399999524,1806.235113499999,none,1,2267.3110529999994,2279.9286171000003,2285.6245806999996,2288.5707844999997,ei,geluiden,,lekker,0
35,9.778322399999524,1806.235113499999,none,1,2288.6142368,2289.989203699999,2305.0444573999994,2306.756763899999,vrouw,geluiden,,kletsen,0
35,9.778322399999524,1806.235113499999,none,1,2306.791968399999,2311.6111550000005,2317.2328381000007,2319.3835748,geur,geluiden,,ruiken,0
35,9.778322399999524,1806.235113499999,none,1,2319.4187877999993,2323.136626899999,2328.7613870000005,2330.968678199999,kotsen,geluiden,,overgeven,0
