"","word","modality","fit","se","lwr","upr","avg_expressibility_norm","n","diff_expr","diff_rank","English"
"1","(sich ver)sammeln","gesture",0.430272134051567,0.0497873464821239,0.333367030928585,0.52953452402544,0.427845755578947,146,0.298974360578571,33,"to gather"
"2","(sich ver)sammeln","multimodal",0.455263491388964,0.0444160570303052,0.371403886560496,0.544542704524701,0.468663395928571,143,0.298974360578571,33,"to gather"
"3","(sich ver)sammeln","vocal",0.212031426567127,0.0385056152084595,0.144506356923168,0.299258168575337,0.16968903535,176,0.298974360578571,33,"to gather"
"4","(weg)gehen","gesture",0.695611300628267,0.0440796867909067,0.602658336016431,0.775939310521285,0.743634507119048,38,0.306874761171679,50,"to go"
"5","(weg)gehen","multimodal",0.664910202319061,0.0428072666589567,0.578015140044264,0.744132879943652,0.66066493975,88,0.306874761171679,50,"to go"
"6","(weg)gehen","vocal",0.426225579708204,0.0582052296991635,0.318299900144038,0.542694717142655,0.436759745947368,61,0.306874761171679,50,"to go"
"7","alles","gesture",0.493464548261933,0.0492272451074066,0.395306026461023,0.590466155266729,0.501416190261905,130,0.364825234648268,60,"all"
"8","alles","multimodal",0.441382868898601,0.0439942391333624,0.355938251366116,0.529175718655021,0.427228014710526,157,0.364825234648268,60,"all"
"9","alles","vocal",0.188958871381005,0.0361200059940995,0.126567585695923,0.272027454947854,0.136590955613636,190,0.364825234648268,60,"all"
"10","alt","gesture",0.514487574529496,0.0493781227346244,0.41952241589658,0.611738820887287,0.525319711681818,118,0.165325001020238,51,"old"
"11","alt","multimodal",0.564184560790814,0.0436599259636749,0.472890593984015,0.649807671171683,0.568622421925,116,0.165325001020238,51,"old"
"12","alt","vocal",0.397140565666328,0.0516162914730918,0.301706462737607,0.501308668421496,0.403297420904762,67,0.165325001020238,51,"old"
"13","Ameise","gesture",0.378112743414237,0.0494969744112984,0.286331951450964,0.479203242437503,0.3439912353,163,0.156205854131579,11,"ant"
"14","Ameise","multimodal",0.379349311348852,0.0454511026948569,0.29727694781616,0.471836962570104,0.351795681973684,173,0.156205854131579,11,"ant"
"15","Ameise","vocal",0.203155742548729,0.0400689210204385,0.136303563180234,0.293494215587709,0.195589827842105,162,0.156205854131579,11,"ant"
"16","anders","gesture",0.221989194687069,0.0367837646210706,0.15791401848799,0.299899612627344,0.179154305475,201,0.0457556155776316,44,"different"
"17","anders","multimodal",0.280102158021718,0.03657255701947,0.210742690505271,0.360313246233066,0.224909921052632,202,0.0457556155776316,44,"different"
"18","anders","vocal",0.23210724602417,0.0416759469054222,0.158544235411972,0.324733571353652,0.212855087394737,158,0.0457556155776316,44,"different"
"19","angeekelt","gesture",0.61214365828019,0.0485431853655343,0.514514923254431,0.701894702613324,0.584282185973684,99,0.191058175526316,83,"disgusted"
"20","angeekelt","multimodal",0.720905834786508,0.0372634990850364,0.644225787029418,0.789453459131,0.7753403615,35,0.191058175526316,83,"disgusted"
"21","angeekelt","vocal",0.710459577425823,0.0456132649995816,0.61048281671645,0.789219977107218,0.7637296155,16,0.191058175526316,83,"disgusted"
"22","Arm","gesture",0.603012100872659,0.0525973549694193,0.499526622556473,0.699955183427119,0.5802420979,101,0.533053253880435,107,"arm"
"23","Arm","multimodal",0.674681625578141,0.0404113838913522,0.590722894982042,0.747944759124751,0.765578049630435,38,0.533053253880435,107,"arm"
"24","Arm","vocal",0.291119243577054,0.0517423625466127,0.202480889541349,0.401068434275866,0.23252479575,145,0.533053253880435,107,"arm"
"25","Asche","gesture",0.240713529659853,0.0358294216835137,0.175542074216449,0.319825193325847,0.217627029309524,197,0.0697446107821429,26,"ash"
"26","Asche","multimodal",0.306028480822428,0.040128804565619,0.233739805165537,0.388504412529877,0.254470646425,197,0.0697446107821429,26,"ash"
"27","Asche","vocal",0.193392529150948,0.0351132418300815,0.131653689407154,0.27245222265667,0.184726035642857,171,0.0697446107821429,26,"ash"
"28","atmen","gesture",0.797409911711008,0.0307456061164291,0.727903641152785,0.853456088061932,0.807609487375,20,0.081789991125,18,"to breathe"
"29","atmen","multimodal",0.827181081793041,0.0262058986492943,0.768165497498133,0.872567201604811,0.866159881238095,7,0.081789991125,18,"to breathe"
"30","atmen","vocal",0.824636886153744,0.0335436592156448,0.748386523280032,0.879893044260112,0.8893994785,2,0.081789991125,18,"to breathe"
"31","Auge","gesture",0.685064503292645,0.0419345659469827,0.598650317304269,0.759259355883215,0.719769950590909,46,0.372587906440909,37,"eye"
"32","Auge","multimodal",0.685525950505103,0.0393453463542195,0.601476648942907,0.760088340451199,0.7271122096,53,0.372587906440909,37,"eye"
"33","Auge","vocal",0.382845937734523,0.0512833076551459,0.283725993104661,0.490997385599564,0.354524303159091,83,0.372587906440909,37,"eye"
"34","baden","gesture",0.559474646725217,0.0435499152977984,0.469424124370427,0.643181367376794,0.585606982261905,98,0.385139868809524,62,"to bathe"
"35","baden","multimodal",0.558648845134584,0.0424819820318047,0.473688334707569,0.639636634103476,0.557420262175,120,0.385139868809524,62,"to bathe"
"36","baden","vocal",0.235230230848015,0.0395056356022394,0.166981410656966,0.319321589097557,0.200467113452381,160,0.385139868809524,62,"to bathe"
"37","Bein","gesture",0.538543079508777,0.0528195881306427,0.436986256339406,0.637306794366409,0.568954997973684,108,0.290156757519139,28,"leg"
"38","Bein","multimodal",0.521123638838976,0.0454501057019425,0.43194192756459,0.606368482157429,0.495357463809524,136,0.290156757519139,28,"leg"
"39","Bein","vocal",0.315558840806602,0.0514218788578963,0.223641889656542,0.422794344683432,0.278798240454545,116,0.290156757519139,28,"leg"
"40","beißen","gesture",0.775724029426931,0.034241141121038,0.700867320830168,0.836101825449743,0.795640817931818,23,0.228633964070238,18,"to bite"
"41","beißen","multimodal",0.780794019749644,0.0310594033558905,0.714832503131825,0.83551239683754,0.845704176595238,12,0.228633964070238,18,"to bite"
"42","beißen","vocal",0.609404784267033,0.0531654884616278,0.504050778014366,0.710091459005715,0.617070212525,30,0.228633964070238,18,"to bite"
"43","Berg","gesture",0.651620908035528,0.0441895310772093,0.560282390373259,0.733694954403015,0.701131428166667,52,0.407485017833333,56,"mountain"
"44","Berg","multimodal",0.609737934048964,0.041962982476003,0.526062428220355,0.68860804767773,0.613936222173913,103,0.407485017833333,56,"mountain"
"45","Berg","vocal",0.320086799260283,0.049199434732105,0.234916000358834,0.422728032917522,0.293646410333333,108,0.407485017833333,56,"mountain"
"46","Berührung","gesture",0.631941531549825,0.0423902859026257,0.548352617370494,0.711039988397607,0.658834541363636,72,0.34635853288913,14,"touch"
"47","Berührung","multimodal",0.643990432805748,0.0406659947614926,0.561766941901096,0.72089351093371,0.68575757865,75,0.34635853288913,14,"touch"
"48","Berührung","vocal",0.355719424285436,0.0460518933503896,0.273392417296349,0.451188212625083,0.33939904576087,86,0.34635853288913,14,"touch"
"49","binden","gesture",0.638486173485353,0.0473992390133273,0.539703657646619,0.723292118556415,0.666608952238095,70,0.478426536538095,97,"to tie"
"50","binden","multimodal",0.572213675835962,0.0460905461315699,0.484718734323415,0.658163301638671,0.526226773818182,126,0.478426536538095,97,"to tie"
"51","binden","vocal",0.253947880369251,0.0426781404522879,0.179238353724159,0.349463594756094,0.1881824157,167,0.478426536538095,97,"to tie"
"52","bitter","gesture",0.452691815336308,0.0536967542190048,0.352567470832562,0.558870284331723,0.446307530225,140,0.150248528375541,41,"bitter"
"53","bitter","multimodal",0.465421426966196,0.0469264366837643,0.374027059401126,0.557152148857788,0.450643577761905,147,0.150248528375541,41,"bitter"
"54","bitter","vocal",0.327673650713676,0.0472005473581176,0.242346469314574,0.424228124404153,0.300395049386364,106,0.150248528375541,41,"bitter"
"55","Blatt","gesture",0.408616869936647,0.0486875502321805,0.321732000186071,0.503544891212806,0.424168589119048,147,0.229632874269048,22,"leaf"
"56","Blatt","multimodal",0.406167256781973,0.043466868528152,0.325577539852281,0.492626206521047,0.368199251547619,169,0.229632874269048,22,"leaf"
"57","Blatt","vocal",0.222081485097359,0.0408326464360624,0.149204816818056,0.310923054096075,0.19453571485,163,0.229632874269048,22,"leaf"
"58","blau","gesture",0.208373422392699,0.0338055706173279,0.147673172043647,0.286662910863942,0.172131335368421,202,0.0853216985813397,8,"blue"
"59","blau","multimodal",0.2463499385734,0.0337734011563126,0.185884846848969,0.320955996417837,0.213116852818182,203,0.0853216985813397,8,"blue"
"60","blau","vocal",0.161725760530942,0.0325328403279888,0.106987583314304,0.232645120387423,0.127795154236842,195,0.0853216985813397,8,"blue"
"61","Blitz","gesture",0.558874115669434,0.0499404978122914,0.456692333343328,0.654095559182678,0.541559363947368,114,0.10013856349026,68,"lightning"
"62","Blitz","multimodal",0.61364396751499,0.0424588979184131,0.527045676063211,0.692726159173574,0.626408259704546,94,0.10013856349026,68,"lightning"
"63","Blitz","vocal",0.493702194004432,0.0509366878055992,0.391343753701037,0.59264694477704,0.526269696214286,46,0.10013856349026,68,"lightning"
"64","Blut","gesture",0.473936619675879,0.0496844276323253,0.37560443088951,0.575774612612106,0.4603702759,136,0.393027944744737,50,"blood"
"65","Blut","multimodal",0.54932876044528,0.045755751219344,0.460428070631164,0.633665352109077,0.593633878894737,109,0.393027944744737,50,"blood"
"66","Blut","vocal",0.239247435764923,0.0409510335668831,0.166962763179115,0.332290419946645,0.20060593415,159,0.393027944744737,50,"blood"
"67","breit","gesture",0.696807855461159,0.0413932265962249,0.610050885258432,0.771661523377715,0.7534161769,33,0.567352862447619,137,"wide"
"68","breit","multimodal",0.656222437683077,0.0400060010307434,0.572402286594504,0.731909904001025,0.694562763333333,67,0.567352862447619,137,"wide"
"69","breit","vocal",0.244101970359081,0.0424899538282852,0.169313091376483,0.339097903688802,0.186063314452381,170,0.567352862447619,137,"wide"
"70","brennen","gesture",0.545042544108077,0.0482075665632132,0.450387515037175,0.635570975436399,0.532606527928571,117,0.152942890740476,52,"to burn"
"71","brennen","multimodal",0.602402757472748,0.0430776906186465,0.516500315659133,0.684458098242878,0.579290796690476,113,0.152942890740476,52,"to burn"
"72","brennen","vocal",0.426225894658489,0.0486151483268828,0.333069943967363,0.525099120690867,0.42634790595,65,0.152942890740476,52,"to burn"
"73","Brust","gesture",0.575701794559387,0.0473289200811662,0.481315923438887,0.663969086301951,0.598781571431818,92,0.408384936597619,45,"breast"
"74","Brust","multimodal",0.611925429413771,0.0428270927682409,0.527206014491698,0.691709136946293,0.661972832547619,86,0.408384936597619,45,"breast"
"75","Brust","vocal",0.298166315995282,0.0471467306433402,0.215295142798544,0.399645659192134,0.25358789595,131,0.408384936597619,45,"breast"
"76","das","gesture",0.184898980907111,0.0306752313957776,0.131566597215794,0.252645508811541,0.139234973272727,205,0.0990728846369048,14,"this"
"77","das","multimodal",0.270812482857438,0.03713739611721,0.202845359109994,0.348944340340076,0.234984527875,200,0.0990728846369048,14,"this"
"78","das","vocal",0.159211670074235,0.0294232641408305,0.109187467890679,0.228568111578404,0.135911643238095,191,0.0990728846369048,14,"this"
"79","dick","gesture",0.791050376825949,0.033123178104803,0.715333695908743,0.848110441409442,0.847239180545455,12,0.467254143522727,63,"thick"
"80","dick","multimodal",0.762317864157015,0.033637347817218,0.689546557565767,0.824399164497264,0.817049293047619,24,0.467254143522727,63,"thick"
"81","dick","vocal",0.427687562213409,0.0541698576364817,0.32775515231401,0.532931033478261,0.379985037022727,75,0.467254143522727,63,"thick"
"82","Donner","gesture",0.315650064254386,0.0441009815606241,0.235765507788246,0.41065792808859,0.220177449333333,196,0.405943797941667,164,"thunder"
"83","Donner","multimodal",0.558659941678064,0.0450183824763247,0.471904514879709,0.643804662210461,0.626121247275,96,0.405943797941667,164,"thunder"
"84","Donner","vocal",0.534573043528193,0.0534126757032537,0.426276424453755,0.639463855334419,0.601586820380952,32,0.405943797941667,164,"thunder"
"85","draußen","gesture",0.409828072331303,0.0457811488194941,0.323434651103259,0.501263265032108,0.40084430655,150,0.271827300507576,22,"out"
"86","draußen","multimodal",0.491342295280646,0.0432675129610954,0.408596281010947,0.574118080139307,0.513388401340909,128,0.271827300507576,22,"out"
"87","draußen","vocal",0.251575460764374,0.0418806426310264,0.178615731632792,0.343901356715393,0.241561100833333,139,0.271827300507576,22,"out"
"88","drinnen","gesture",0.492539972648494,0.0486589932726285,0.400170044077757,0.58389079822271,0.51646433075,122,0.319774636454545,39,"in"
"89","drinnen","multimodal",0.487300499526003,0.0439661158975341,0.403023123015626,0.575683719344513,0.480893148642857,140,0.319774636454545,39,"in"
"90","drinnen","vocal",0.231589559889682,0.0385451243677404,0.164268915780647,0.315397992677837,0.196689694295455,161,0.319774636454545,39,"in"
"91","du","gesture",0.53098231624881,0.0519586144446633,0.427975004641738,0.631414151912946,0.5192744336,121,0.296199593938158,12,"you"
"92","du","multimodal",0.56116213217161,0.0472584239242224,0.4647927105616,0.649494689914902,0.588898610263158,110,0.296199593938158,12,"you"
"93","du","vocal",0.305486414379552,0.050883123657758,0.216368945162701,0.41455402902506,0.292699016325,109,0.296199593938158,12,"you"
"94","duftend","gesture",0.611935514861176,0.0489206115343572,0.514752517673949,0.702346498077388,0.591816609342105,95,0.223483926384091,51,"fragrant"
"95","duftend","multimodal",0.701268904955029,0.0365295203814907,0.624096231082797,0.7684730450278,0.759797683159091,44,0.223483926384091,51,"fragrant"
"96","duftend","vocal",0.526631461044033,0.050197230346138,0.426717840677964,0.623157989722474,0.536313756775,45,0.223483926384091,51,"fragrant"
"97","dunkel","gesture",0.431991459983432,0.0482285091500821,0.337337137205149,0.526778419979868,0.446085434880952,141,0.228019133605952,29,"dark"
"98","dunkel","multimodal",0.397276112397863,0.0426002562816678,0.317126893759948,0.483624887456318,0.359080630909091,170,0.228019133605952,29,"dark"
"99","dunkel","vocal",0.226961485042719,0.0406329477955162,0.156401438953455,0.315623582494125,0.218066301275,154,0.228019133605952,29,"dark"
"100","eckig","gesture",0.70042780570074,0.0424404674759416,0.613517424897829,0.778285663611749,0.72742297645,43,0.509652193818421,112,"angular"
"101","eckig","multimodal",0.671970640307308,0.0382349004665977,0.593483585236542,0.744154705632442,0.713479678043478,57,0.509652193818421,112,"angular"
"102","eckig","vocal",0.272819988248176,0.0487868337320185,0.191217174281913,0.376478197326863,0.217770782631579,155,0.509652193818421,112,"angular"
