"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID"
66,10,0,1,2,"vocal",0.615450673796237,"bird",0,1,1,"vogel","vogel","animal","10_2"
67,10,0,1,2,"vocal",0.56695234249888,"fly",0,0,0.575,"vlieg","bij","animal","10_2"
68,10,0,1,2,"vocal",0.56695234249888,"fly",1,0,0.561,"vlieg","scheren","animal","10_2"
69,10,0,1,2,"vocal",0.56695234249888,"fly",2,0,0.554,"vlieg","bloem","animal","10_2"
70,10,0,1,2,"vocal",0.314638353811457,"maybe",0,0,0.642,"misschien","twijfelen","logical","10_2"
71,10,0,1,2,"vocal",0.314638353811457,"maybe",1,0,0.784,"misschien","denken","logical","10_2"
72,10,0,1,2,"vocal",0.314638353811457,"maybe",2,0,0.575,"misschien","goed","logical","10_2"
73,10,0,1,2,"vocal",0.289772587287242,"sharp",0,0,0.546,"scherp","spuiten","haptic","10_2"
74,10,0,1,2,"vocal",0.289772587287242,"sharp",1,0,0.549,"scherp","verbranden","haptic","10_2"
75,10,0,1,2,"vocal",0.289772587287242,"sharp",2,0,0.66,"scherp","heet","haptic","10_2"
76,10,0,1,2,"vocal",0.361936361379245,"sour",0,0,0.623,"zuur","vies","gustatory","10_2"
77,10,0,1,2,"vocal",0.361936361379245,"sour",1,0,0.545,"zuur","eten","gustatory","10_2"
78,10,0,1,2,"vocal",0.361936361379245,"sour",2,0,0.587,"zuur","smerig","gustatory","10_2"
79,10,0,1,2,"vocal",0.303762958061108,"to hunt",0,0,0.54,"jagen","boksen","survival","10_2"
80,10,0,1,2,"vocal",0.303762958061108,"to hunt",1,0,0.544,"jagen","ontploffen","survival","10_2"
81,10,0,1,2,"vocal",0.303762958061108,"to hunt",2,0,0.557,"jagen","spanning","survival","10_2"
82,10,0,1,2,"vocal",0.343503131163236,"to jump",0,0,0.516,"springen","piano","locomotion","10_2"
83,10,0,1,2,"vocal",0.343503131163236,"to jump",1,0,0.519,"springen","scannen","locomotion","10_2"
84,10,0,1,2,"vocal",0.343503131163236,"to jump",2,0,0.47,"springen","gitaar","locomotion","10_2"
91,10,1,2,2,"vocal",0.292221991868001,"mountain",0,0,0.477,"berg","leeglopen","environment","10_2"
