trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity,guess_binary,expressibility_dutch,SemanticSubcat,filename
29,practice,1,leeg,gebaren,leeg,0,10_1,1,10,2,empty,1.0,1,,,10_1_pr_28_p1_leeg_gebaren_final.avi
30,target,1,groot,gebaren,hoog,0,10_1,1,10,2,big,0.724,0,0.75757088404005,quantity,10_1_trial_29_p1_groot_gebaren_final.avi
31,target,1,bitter,gebaren,vies,0,10_1,1,10,2,bitter,0.708,0,0.292422929920138,gustatory,10_1_trial_30_p1_bitter_gebaren_final.avi
32,target,1,koud,gebaren,koud,0,10_1,1,10,2,cold,1.0,1,0.847021849271004,temperature,10_1_trial_31_p1_koud_gebaren_final.avi
33,target,1,hond,gebaren,hond,0,10_1,1,10,2,dog,1.0,1,0.702295683196924,animal,10_1_trial_32_p1_hond_gebaren_final.avi
34,target,1,ei,gebaren,kip,0,10_1,1,10,2,egg,0.77,0,0.545621192753626,object,10_1_trial_33_p1_ei_gebaren_final.avi
35,target,1,vrouw,gebaren,lichaam,0,10_1,1,10,2,female,0.598,0,0.646814871143661,animate,10_1_trial_34_p1_vrouw_gebaren_final.avi
36,target,1,kruipen,gebaren,tijger,0,10_1,1,10,2,to crawl,0.506,0,0.808002011831166,locomotion,10_1_trial_35_p1_kruipen_gebaren_final.avi
37,practice,0,haasten,geluiden,wind,0,10_1,1,10,1,to hurry,0.52,0,,,10_1_pr_36_p0_haasten_geluiden_final.avi
38,practice,0,dansen,geluiden,zingen,0,10_1,1,10,1,to dance,0.688,0,,,10_1_pr_37_p0_dansen_geluiden_final.avi
39,target,0,kat,geluiden,kat,0,10_1,1,10,1,cat,1.0,1,0.840948971730618,animal,10_1_trial_38_p0_kat_geluiden_final.avi
40,target,0,dood,geluiden,stikken,0,10_1,1,10,1,dead,0.599,0,0.423358570613411,animate,10_1_trial_39_p0_dood_geluiden_final.avi
41,target,0,snel,geluiden,blazen,0,10_1,1,10,1,fast,0.523,0,0.45736979983774,manner,10_1_trial_40_p0_snel_geluiden_final.avi
42,target,0,slang,geluiden,water,0,10_1,1,10,1,snake,0.671,0,0.756185551284266,animal,10_1_trial_41_p0_slang_geluiden_final.avi
43,target,0,dik,geluiden,olifant,0,10_1,1,10,1,thick,0.575,0,0.328297815791421,quantity,10_1_trial_42_p0_dik_geluiden_final.avi
44,target,0,huilen,geluiden,huilen,0,10_1,1,10,1,to cry,1.0,1,0.822727134099333,vocal_oral,10_1_trial_43_p0_huilen_geluiden_final.avi
45,target,0,drinken,geluiden,drinken,0,10_1,1,10,1,to drink,1.0,1,0.657074938645804,vocal_oral,10_1_trial_44_p0_drinken_geluiden_final.avi
46,practice,1,comfortabel,geluiden,zingen,0,10_1,1,10,2,comfortable,0.502,0,,,10_1_pr_45_p1_comfortabel_geluiden_final.avi
47,practice,1,bloem,geluiden,vlieg,0,10_1,1,10,2,flower,0.554,0,,,10_1_pr_46_p1_bloem_geluiden_final.avi
48,target,1,kind,geluiden,baby,0,10_1,1,10,2,child,0.881,0,0.431409213563599,social,10_1_trial_47_p1_kind_geluiden_final.avi
49,target,1,ver,geluiden,ballon,0,10_1,1,10,2,far,0.52,0,0.306589745694138,spatial,10_1_trial_48_p1_ver_geluiden_final.avi
50,target,1,blij,geluiden,lachen,0,10_1,1,10,2,happy,0.673,0,0.571342868662109,valence,10_1_trial_49_p1_blij_geluiden_final.avi
51,target,1,hoorn,geluiden,avontuur,0,10_1,1,10,2,horn,0.512,0,0.612503914010408,other,10_1_trial_50_p1_hoorn_geluiden_final.avi
52,target,1,heet,geluiden,moe,0,10_1,1,10,2,hot,0.573,0,0.49098203287298,temperature,10_1_trial_51_p1_heet_geluiden_final.avi
53,target,1,zout,geluiden,slissen,0,10_1,1,10,2,salt,0.534,0,0.153255935410395,gustatory,10_1_trial_52_p1_zout_geluiden_final.avi
54,target,1,ziek,geluiden,hoesten,0,10_1,1,10,2,sick,0.661,0,0.548898090158061,animate,10_1_trial_53_p1_ziek_geluiden_final.avi
1,practice,0,zwaaien,gebaren,zwaaien,0,10_2,2,10,1,to wave,1.0,1,,,10_2_pr_0_p0_zwaaien_gebaren_c0_final.avi
2,practice,0,juichen,gebaren,dansen,0,10_2,2,10,1,to cheer,0.589,0,,,10_2_pr_1_p0_juichen_gebaren_c0_final.avi
3,practice,0,juichen,gebaren,juichen,1,10_2,2,10,1,to cheer,1.0,1,,,10_2_pr_2_p0_juichen_gebaren_c1_final.avi
4,target,0,vis,gebaren,vis,0,10_2,2,10,1,fish,1.0,1,0.69659625199764,animal,10_2_trial_3_p0_vis_gebaren_c0_final.avi
5,target,0,hoog,gebaren,groot,0,10_2,2,10,1,high,0.724,0,0.763929389158889,auditory,10_2_trial_4_p0_hoog_gebaren_c0_final.avi
6,target,0,hoog,gebaren,rijken,1,10_2,2,10,1,high,0.617,0,0.763929389158889,auditory,10_2_trial_5_p0_hoog_gebaren_c1_final.avi
7,target,0,hoog,gebaren,hoog,2,10_2,2,10,1,high,1.0,1,0.763929389158889,auditory,10_2_trial_6_p0_hoog_gebaren_c2_final.avi
8,target,0,regen,gebaren,regen,0,10_2,2,10,1,rain,1.0,1,0.729078471280972,environment,10_2_trial_7_p0_regen_gebaren_c0_final.avi
9,target,0,verdrietig,gebaren,huilen,0,10_2,2,10,1,sad,0.695,0,0.816931671134317,valence,10_2_trial_8_p0_verdrietig_gebaren_c0_final.avi
10,target,0,verdrietig,gebaren,verdrietig,1,10_2,2,10,1,sad,1.0,1,0.816931671134317,valence,10_2_trial_9_p0_verdrietig_gebaren_c1_final.avi
11,target,0,langzaam,gebaren,slowmotion,0,10_2,2,10,1,slow,0.90335,0,0.689425946655567,manner,10_2_trial_10_p0_langzaam_gebaren_c0_final.avi
12,target,0,langzaam,gebaren,joggen,1,10_2,2,10,1,slow,0.612,0,0.689425946655567,manner,10_2_trial_11_p0_langzaam_gebaren_c1_final.avi
13,target,0,langzaam,gebaren,langzaam,2,10_2,2,10,1,slow,1.0,1,0.689425946655567,manner,10_2_trial_12_p0_langzaam_gebaren_c2_final.avi
14,target,0,weten,gebaren,denken,0,10_2,2,10,1,to know,0.816,0,0.506590701964198,cognitive,10_2_trial_13_p0_weten_gebaren_c0_final.avi
15,target,0,weten,gebaren,idee,1,10_2,2,10,1,to know,0.646,0,0.506590701964198,cognitive,10_2_trial_14_p0_weten_gebaren_c1_final.avi
16,target,0,weten,gebaren,bedenken,2,10_2,2,10,1,to know,0.757,0,0.506590701964198,cognitive,10_2_trial_15_p0_weten_gebaren_c2_final.avi
17,target,0,rennen,gebaren,rennen,0,10_2,2,10,1,to run,1.0,1,0.826568126656141,locomotion,10_2_trial_16_p0_rennen_gebaren_c0_final.avi
18,practice,1,vliegtuig,gebaren,vliegtuig,0,10_2,2,10,2,airplane,1.0,1,,,10_2_pr_17_p1_vliegtuig_gebaren_c0_final.avi
19,practice,1,bal,gebaren,gooien,0,10_2,2,10,2,ball,0.656,0,,,10_2_pr_18_p1_bal_gebaren_c0_final.avi
20,practice,1,bal,gebaren,werpen,1,10_2,2,10,2,ball,0.669,0,,,10_2_pr_19_p1_bal_gebaren_c1_final.avi
21,practice,1,bal,gebaren,bal,2,10_2,2,10,2,ball,1.0,1,,,10_2_pr_20_p1_bal_gebaren_c2_final.avi
22,target,1,zwaar,gebaren,zwanger,0,10_2,2,10,2,heavy,0.552,0,0.688818480327848,quantity,10_2_trial_21_p1_zwaar_gebaren_c0_final.avi
23,target,1,zwaar,gebaren,dik,1,10_2,2,10,2,heavy,0.797,0,0.688818480327848,quantity,10_2_trial_22_p1_zwaar_gebaren_c1_final.avi
24,target,1,zwaar,gebaren,zwaar,2,10_2,2,10,2,heavy,1.0,1,0.688818480327848,quantity,10_2_trial_23_p1_zwaar_gebaren_c2_final.avi
25,target,1,niet,gebaren,kruis,0,10_2,2,10,2,not,0.503,0,0.546206866167494,logical,10_2_trial_24_p1_niet_gebaren_c0_final.avi
26,target,1,niet,gebaren,verboden,1,10_2,2,10,2,not,0.683,0,0.546206866167494,logical,10_2_trial_25_p1_niet_gebaren_c1_final.avi
27,target,1,niet,gebaren,luisteren,2,10_2,2,10,2,not,0.506,0,0.546206866167494,logical,10_2_trial_26_p1_niet_gebaren_c2_final.avi
28,target,1,bang,gebaren,schrikken,0,10_2,2,10,2,scared,0.874,0,0.713438710786138,valence,10_2_trial_27_p1_bang_gebaren_c0_final.avi
29,target,1,bang,gebaren,bang,1,10_2,2,10,2,scared,1.0,1,0.713438710786138,valence,10_2_trial_28_p1_bang_gebaren_c1_final.avi
30,target,1,stil,gebaren,stil,0,10_2,2,10,2,silent,1.0,1,0.818566029243692,auditory,10_2_trial_29_p1_stil_gebaren_c0_final.avi
31,target,1,staart,gebaren,pruik,0,10_2,2,10,2,tail,0.659,0,0.594711648335829,quantity,10_2_trial_30_p1_staart_gebaren_c0_final.avi
32,target,1,staart,gebaren,bruid,1,10_2,2,10,2,tail,0.516,0,0.594711648335829,quantity,10_2_trial_31_p1_staart_gebaren_c1_final.avi
33,target,1,staart,gebaren,staart,2,10_2,2,10,2,tail,1.0,1,0.594711648335829,quantity,10_2_trial_32_p1_staart_gebaren_c2_final.avi
34,target,1,vallen,gebaren,wegduwen,0,10_2,2,10,2,to fall,0.637,0,0.717367201892134,locomotion,10_2_trial_33_p1_vallen_gebaren_c0_final.avi
35,target,1,vallen,gebaren,vallen,1,10_2,2,10,2,to fall,1.0,1,0.717367201892134,locomotion,10_2_trial_34_p1_vallen_gebaren_c1_final.avi
36,target,1,likken,gebaren,likken,0,10_2,2,10,2,to lick,1.0,1,0.757301371697859,gustatory,10_2_trial_35_p1_likken_gebaren_c0_final.avi
37,practice,0,eend,combinatie,eend,0,10_2,2,10,1,duck,1.0,1,,,10_2_pr_36_p0_eend_combinatie_c0_final.avi
38,practice,0,zingen,combinatie,zingen,0,10_2,2,10,1,to sing,1.0,1,,,10_2_pr_37_p0_zingen_combinatie_c0_final.avi
39,target,0,ik,combinatie,vrouw,0,10_2,2,10,1,I,0.645,0,0.689936218632502,social,10_2_trial_38_p0_ik_combinatie_c0_final.avi
40,target,0,ik,combinatie,ik,1,10_2,2,10,1,I,1.0,1,0.689936218632502,social,10_2_trial_39_p0_ik_combinatie_c1_final.avi
41,target,0,bliksem,combinatie,bliksem,0,10_2,2,10,1,lightning,1.0,1,0.596218227203866,environment,10_2_trial_40_p0_bliksem_combinatie_c0_final.avi
42,target,0,klein,combinatie,klein,0,10_2,2,10,1,small,1.0,1,0.779274600156361,quantity,10_2_trial_41_p0_klein_combinatie_c0_final.avi
43,target,0,slaan,combinatie,slaan,0,10_2,2,10,1,to hit,1.0,1,0.794014980882957,manual,10_2_trial_42_p0_slaan_combinatie_c0_final.avi
44,target,0,slapen,combinatie,slapen,0,10_2,2,10,1,to sleep,1.0,1,0.857717036574825,survival,10_2_trial_43_p0_slapen_combinatie_c0_final.avi
45,target,0,zuigen,combinatie,sabbelen,0,10_2,2,10,1,to suck,0.877,0,0.671311406311871,vocal_oral,10_2_trial_44_p0_zuigen_combinatie_c0_final.avi
46,target,0,zuigen,combinatie,zuigen,1,10_2,2,10,1,to suck,1.0,1,0.671311406311871,vocal_oral,10_2_trial_45_p0_zuigen_combinatie_c1_final.avi
47,target,0,kotsen,combinatie,overgeven,0,10_2,2,10,1,to vomit,0.887,0,0.828901259475311,gustatory,10_2_trial_46_p0_kotsen_combinatie_c0_final.avi
48,target,0,kotsen,combinatie,kotsen,1,10_2,2,10,1,to vomit,1.0,1,0.828901259475311,gustatory,10_2_trial_47_p0_kotsen_combinatie_c1_final.avi
49,practice,1,klok,combinatie,klok,0,10_2,2,10,2,clock,1.0,1,,,10_2_pr_48_p1_klok_combinatie_c0_final.avi
50,practice,1,geheim,combinatie,geheim,0,10_2,2,10,2,secret,1.0,1,,,10_2_pr_49_p1_geheim_combinatie_c0_final.avi
51,target,1,boos,combinatie,boos,0,10_2,2,10,2,angry,1.0,1,0.818182220108296,valence,10_2_trial_50_p1_boos_combinatie_c0_final.avi
52,target,1,walgen,combinatie,walgen,0,10_2,2,10,2,disgusted,1.0,1,0.673077034619221,valence,10_2_trial_51_p1_walgen_combinatie_c0_final.avi
53,target,1,goed,combinatie,goed,0,10_2,2,10,2,good,1.0,1,0.687562055559869,valence,10_2_trial_52_p1_goed_combinatie_c0_final.avi
54,target,1,luidruchtig,combinatie,druk,0,10_2,2,10,2,loud,0.746,0,0.639905020121821,auditory,10_2_trial_53_p1_luidruchtig_combinatie_c0_final.avi
55,target,1,luidruchtig,combinatie,schreeuwen,1,10_2,2,10,2,loud,0.734,0,0.639905020121821,auditory,10_2_trial_54_p1_luidruchtig_combinatie_c1_final.avi
56,target,1,luidruchtig,combinatie,babbelen,2,10_2,2,10,2,loud,0.602,0,0.639905020121821,auditory,10_2_trial_55_p1_luidruchtig_combinatie_c2_final.avi
57,target,1,man,combinatie,baas,0,10_2,2,10,2,male,0.751,0,0.562319704396451,animate,10_2_trial_56_p1_man_combinatie_c0_final.avi
58,target,1,man,combinatie,bodybuilder,1,10_2,2,10,2,male,0.622,0,0.562319704396451,animate,10_2_trial_57_p1_man_combinatie_c1_final.avi
59,target,1,man,combinatie,fransman,2,10_2,2,10,2,male,0.644,0,0.562319704396451,animate,10_2_trial_58_p1_man_combinatie_c2_final.avi
60,target,1,bijten,combinatie,bijten,0,10_2,2,10,2,to bite,1.0,1,0.780811330443828,vocal_oral,10_2_trial_59_p1_bijten_combinatie_c0_final.avi
61,target,1,lachen,combinatie,lachen,0,10_2,2,10,2,to laugh,1.0,1,0.852786166779168,vocal_oral,10_2_trial_60_p1_lachen_combinatie_c0_final.avi
62,practice,0,telefoon,geluiden,fiets,0,10_2,2,10,1,telephone,0.53,0,,,10_2_pr_61_p0_telefoon_geluiden_c0_final.avi
63,practice,0,telefoon,geluiden,telefoon,1,10_2,2,10,1,telephone,1.0,1,,,10_2_pr_62_p0_telefoon_geluiden_c1_final.avi
64,practice,0,fiets,geluiden,bel,0,10_2,2,10,1,bicycle,0.529,0,,,10_2_pr_63_p0_fiets_geluiden_c0_final.avi
65,practice,0,fiets,geluiden,fiets,1,10_2,2,10,1,bicycle,1.0,1,,,10_2_pr_64_p0_fiets_geluiden_c1_final.avi
66,target,0,vogel,geluiden,vogel,0,10_2,2,10,1,bird,1.0,1,0.615450673796237,animal,10_2_trial_65_p0_vogel_geluiden_c0_final.avi
67,target,0,vlieg,geluiden,bij,0,10_2,2,10,1,fly,0.575,0,0.56695234249888,animal,10_2_trial_66_p0_vlieg_geluiden_c0_final.avi
68,target,0,vlieg,geluiden,scheren,1,10_2,2,10,1,fly,0.561,0,0.56695234249888,animal,10_2_trial_67_p0_vlieg_geluiden_c1_final.avi
69,target,0,vlieg,geluiden,bloem,2,10_2,2,10,1,fly,0.554,0,0.56695234249888,animal,10_2_trial_68_p0_vlieg_geluiden_c2_final.avi
70,target,0,misschien,geluiden,twijfelen,0,10_2,2,10,1,maybe,0.642,0,0.314638353811457,logical,10_2_trial_69_p0_misschien_geluiden_c0_final.avi
71,target,0,misschien,geluiden,denken,1,10_2,2,10,1,maybe,0.784,0,0.314638353811457,logical,10_2_trial_70_p0_misschien_geluiden_c1_final.avi
72,target,0,misschien,geluiden,goed,2,10_2,2,10,1,maybe,0.575,0,0.314638353811457,logical,10_2_trial_71_p0_misschien_geluiden_c2_final.avi
73,target,0,scherp,geluiden,spuiten,0,10_2,2,10,1,sharp,0.546,0,0.289772587287242,haptic,10_2_trial_72_p0_scherp_geluiden_c0_final.avi
74,target,0,scherp,geluiden,verbranden,1,10_2,2,10,1,sharp,0.549,0,0.289772587287242,haptic,10_2_trial_73_p0_scherp_geluiden_c1_final.avi
75,target,0,scherp,geluiden,heet,2,10_2,2,10,1,sharp,0.66,0,0.289772587287242,haptic,10_2_trial_74_p0_scherp_geluiden_c2_final.avi
76,target,0,zuur,geluiden,vies,0,10_2,2,10,1,sour,0.623,0,0.361936361379245,gustatory,10_2_trial_75_p0_zuur_geluiden_c0_final.avi
77,target,0,zuur,geluiden,eten,1,10_2,2,10,1,sour,0.545,0,0.361936361379245,gustatory,10_2_trial_76_p0_zuur_geluiden_c1_final.avi
78,target,0,zuur,geluiden,smerig,2,10_2,2,10,1,sour,0.587,0,0.361936361379245,gustatory,10_2_trial_77_p0_zuur_geluiden_c2_final.avi
79,target,0,jagen,geluiden,boksen,0,10_2,2,10,1,to hunt,0.54,0,0.303762958061108,survival,10_2_trial_78_p0_jagen_geluiden_c0_final.avi
80,target,0,jagen,geluiden,ontploffen,1,10_2,2,10,1,to hunt,0.544,0,0.303762958061108,survival,10_2_trial_79_p0_jagen_geluiden_c1_final.avi
81,target,0,jagen,geluiden,spanning,2,10_2,2,10,1,to hunt,0.557,0,0.303762958061108,survival,10_2_trial_80_p0_jagen_geluiden_c2_final.avi
82,target,0,springen,geluiden,piano,0,10_2,2,10,1,to jump,0.516,0,0.343503131163236,locomotion,10_2_trial_81_p0_springen_geluiden_c0_final.avi
83,target,0,springen,geluiden,scannen,1,10_2,2,10,1,to jump,0.519,0,0.343503131163236,locomotion,10_2_trial_82_p0_springen_geluiden_c1_final.avi
84,target,0,springen,geluiden,gitaar,2,10_2,2,10,1,to jump,0.47,0,0.343503131163236,locomotion,10_2_trial_83_p0_springen_geluiden_c2_final.avi
85,practice,1,glimlach,geluiden,giechelen,0,10_2,2,10,2,smile,0.781,0,,,10_2_pr_84_p1_glimlach_geluiden_c0_final.avi
86,practice,1,glimlach,geluiden,catcallen,1,10_2,2,10,2,smile,0.56665,0,,,10_2_pr_85_p1_glimlach_geluiden_c1_final.avi
87,practice,1,glimlach,geluiden,begroeten,2,10_2,2,10,2,smile,0.617,0,,,10_2_pr_86_p1_glimlach_geluiden_c2_final.avi
88,practice,1,sneeuw,geluiden,omweer,0,10_2,2,10,2,snow,0.69,0,,,10_2_pr_87_p1_sneeuw_geluiden_c0_final.avi
89,practice,1,sneeuw,geluiden,regen,1,10_2,2,10,2,snow,0.727,0,,,10_2_pr_88_p1_sneeuw_geluiden_c1_final.avi
90,practice,1,sneeuw,geluiden,winter,2,10_2,2,10,2,snow,0.802,0,,,10_2_pr_89_p1_sneeuw_geluiden_c2_final.avi
91,target,1,berg,geluiden,leeglopen,0,10_2,2,10,2,mountain,0.477,0,0.292221991868001,environment,10_2_trial_90_p1_berg_geluiden_c0_final.avi
92,target,1,berg,geluiden,zuchten,1,10_2,2,10,2,mountain,0.531,0,0.292221991868001,environment,10_2_trial_91_p1_berg_geluiden_c1_final.avi
93,target,1,berg,geluiden,ontladen,2,10_2,2,10,2,mountain,0.516,0,0.292221991868001,environment,10_2_trial_92_p1_berg_geluiden_c2_final.avi
94,target,1,blazen,geluiden,blazen,0,10_2,2,10,2,to blow,1.0,1,0.805891834375597,vocal_oral,10_2_trial_93_p1_blazen_geluiden_c0_final.avi
95,target,1,vechten,geluiden,boksen,0,10_2,2,10,2,to fight,0.773,0,0.551944383571384,survival,10_2_trial_94_p1_vechten_geluiden_c0_final.avi
96,target,1,vechten,geluiden,vechten,1,10_2,2,10,2,to fight,1.0,1,0.551944383571384,survival,10_2_trial_95_p1_vechten_geluiden_c1_final.avi
97,target,1,geven,geluiden,nadenken,0,10_2,2,10,2,to give,0.616,0,0.275959375649482,manual,10_2_trial_96_p1_geven_geluiden_c0_final.avi
98,target,1,geven,geluiden,weten,1,10_2,2,10,2,to give,0.679,0,0.275959375649482,manual,10_2_trial_97_p1_geven_geluiden_c1_final.avi
99,target,1,geven,geluiden,begrijpen,2,10_2,2,10,2,to give,0.685,0,0.275959375649482,manual,10_2_trial_98_p1_geven_geluiden_c2_final.avi
100,target,1,grommen,geluiden,tijger,0,10_2,2,10,2,to growl,0.569,0,0.751462893836329,vocal_oral,10_2_trial_99_p1_grommen_geluiden_c0_final.avi
101,target,1,grommen,geluiden,leeuw,1,10_2,2,10,2,to growl,0.554,0,0.751462893836329,vocal_oral,10_2_trial_100_p1_grommen_geluiden_c1_final.avi
102,target,1,grommen,geluiden,grommen,2,10_2,2,10,2,to growl,1.0,1,0.751462893836329,vocal_oral,10_2_trial_101_p1_grommen_geluiden_c2_final.avi
103,target,1,lopen,geluiden,wandelen,0,10_2,2,10,2,to walk,0.875,0,0.319057764809126,locomotion,10_2_trial_102_p1_lopen_geluiden_c0_final.avi
104,target,1,lopen,geluiden,tikken,1,10_2,2,10,2,to walk,0.628,0,0.319057764809126,locomotion,10_2_trial_103_p1_lopen_geluiden_c1_final.avi
105,target,1,fluisteren,geluiden,fluisteren,0,10_2,2,10,2,to whisper,1.0,1,0.703341393070909,auditory,10_2_trial_104_p1_fluisteren_geluiden_c0_final.avi
1,practice,0,rijk,combinatie,geld,0,11_1,1,11,3,rich,0.585,0,,,11_1_pr_0_p0_rijk_combinatie_final.avi
2,practice,0,leeg,combinatie,honger,0,11_1,1,11,3,empty,0.587,0,,,11_1_pr_1_p0_leeg_combinatie_final.avi
3,target,0,hond,combinatie,hond,0,11_1,1,11,3,dog,1.0,1,0.779877846324741,animal,11_1_trial_2_p0_hond_combinatie_final.avi
4,target,0,hoorn,combinatie,geluid,0,11_1,1,11,3,horn,0.737,0,0.523817227867007,other,11_1_trial_3_p0_hoorn_combinatie_final.avi
5,target,0,geur,combinatie,ruiken,0,11_1,1,11,3,odor,0.933,0,0.665167842854809,olfactory,11_1_trial_4_p0_geur_combinatie_final.avi
6,target,0,oud,combinatie,bejaarde,0,11_1,1,11,3,old,0.799,0,0.598288311266584,time,11_1_trial_5_p0_oud_combinatie_final.avi
7,target,0,kruipen,combinatie,baby,0,11_1,1,11,3,to crawl,0.523,0,0.786001237160513,locomotion,11_1_trial_6_p0_kruipen_combinatie_final.avi
8,target,0,drinken,combinatie,drinken,0,11_1,1,11,3,to drink,1.0,1,0.809230111883697,vocal_oral,11_1_trial_7_p0_drinken_combinatie_final.avi
9,target,0,water,combinatie,water,0,11_1,1,11,3,water,1.0,1,0.574876010515767,environment,11_1_trial_8_p0_water_combinatie_final.avi
10,practice,1,knippen,combinatie,knippen,0,11_1,1,11,4,to cut,1.0,1,,,11_1_pr_9_p1_knippen_combinatie_final.avi
11,practice,1,comfortabel,combinatie,moe,0,11_1,1,11,4,comfortable,0.584,0,,,11_1_pr_10_p1_comfortabel_combinatie_final.avi
12,target,1,bitter,combinatie,zuur,0,11_1,1,11,4,bitter,0.791,0,0.409843169892478,gustatory,11_1_trial_11_p1_bitter_combinatie_final.avi
13,target,1,kat,combinatie,kat,0,11_1,1,11,4,cat,1.0,1,0.782999080138815,animal,11_1_trial_12_p1_kat_combinatie_final.avi
14,target,1,klein,combinatie,krimpen,0,11_1,1,11,4,small,0.64,0,0.779274600156361,quantity,11_1_trial_13_p1_klein_combinatie_final.avi
15,target,1,sterk,combinatie,sterk,0,11_1,1,11,4,strong,1.0,1,0.82173351174681,animate,11_1_trial_14_p1_sterk_combinatie_final.avi
16,target,1,blazen,combinatie,blazen,0,11_1,1,11,4,to blow,1.0,1,0.771810542050373,vocal_oral,11_1_trial_15_p1_blazen_combinatie_final.avi
17,target,1,slaan,combinatie,highfive,0,11_1,1,11,4,to hit,0.76,0,0.794014980882957,manual,11_1_trial_16_p1_slaan_combinatie_final.avi
