"","word","modality","fit","se","lwr","upr","avg_expressibility_norm","n","diff_expr","diff_rank","SemanticSubcat","German","English"
"1","aanraken","gesture",0.670934498744307,0.0395541640075418,0.58793229428339,0.744500741194307,0.68030909615,58,0.554834760807143,103,"haptic","Berührung","touch"
"2","aanraken","multimodal",0.694561358996967,0.0378689901597523,0.616059177040697,0.764712350938106,0.73220812545,56,0.554834760807143,103,"haptic","Berührung","touch"
"3","aanraken","vocal",0.207245287344759,0.038715066735633,0.139747363291748,0.296911715507824,0.177373364642857,159,0.554834760807143,103,"haptic","Berührung","touch"
"4","aarde","gesture",0.538902795726192,0.0489505472861902,0.439701258612992,0.630707541572325,0.5439545472,96,0.37346712335,72,"environment","Erde","soil"
"5","aarde","multimodal",0.523975838821659,0.0441730958271231,0.439109410283976,0.611795979267683,0.49785965295,122,0.37346712335,72,"environment","Erde","soil"
"6","aarde","vocal",0.195022846017468,0.0380118332435561,0.131692396917825,0.282804894211486,0.17048742385,168,0.37346712335,72,"environment","Erde","soil"
"7","ademen","gesture",0.781560751401395,0.0317515007724765,0.712780126494982,0.837315427439293,0.765703421954545,38,0.0747353960704545,31,"olfactory","atmen","to breathe"
"8","ademen","multimodal",0.808141386412857,0.0281101090827285,0.746533097920698,0.856875446576317,0.840438818025,17,0.0747353960704545,31,"olfactory","atmen","to breathe"
"9","ademen","vocal",0.784779073219606,0.0344326418442756,0.707832866871718,0.846537120616077,0.81868105205,7,0.0747353960704545,31,"olfactory","atmen","to breathe"
"10","alles","gesture",0.351045394755527,0.0442952037329831,0.270716311533463,0.440714671180657,0.360792962325,158,0.317359555735526,47,"logical","alles","all"
"11","alles","multimodal",0.380906920940991,0.0427510268761924,0.299291003891607,0.4684862174581,0.398006536210526,160,0.317359555735526,47,"logical","alles","all"
"12","alles","vocal",0.117867583504726,0.0272742551169967,0.0736753042782361,0.182893030570509,0.080646980475,205,0.317359555735526,47,"logical","alles","all"
"13","arm (lichaam)","gesture",0.537118367775624,0.0425049871881949,0.452153302924207,0.619443661093173,0.52600773335,107,0.538085127829762,120,"manual","Arm","arm"
"14","arm (lichaam)","multimodal",0.575022423001159,0.0403204044116965,0.493694095316325,0.651445910277761,0.617897712425,86,0.538085127829762,120,"manual","Arm","arm"
"15","arm (lichaam)","vocal",0.126829531448782,0.0266485288584381,0.0843708144825015,0.19233611567313,0.0798125845952381,206,0.538085127829762,120,"manual","Arm","arm"
"16","as","gesture",0.263988094429298,0.0371939749591253,0.19680727876288,0.342099346924197,0.285584997921053,175,0.177538483802005,29,"object","Asche","ash"
"17","as","multimodal",0.245650076263656,0.0321612472563118,0.18749175300048,0.314356614825439,0.175985345809524,204,0.177538483802005,29,"object","Asche","ash"
"18","as","vocal",0.129186842735717,0.026662206481412,0.0855226989496988,0.195272956767184,0.108046514119048,197,0.177538483802005,29,"object","Asche","ash"
"19","badderen","gesture",0.484879156180539,0.042648215187765,0.403976587941565,0.56706096412716,0.5026380587,117,0.16803986975,79,"survival","baden","to bathe"
"20","badderen","multimodal",0.475639249847531,0.0405104851946063,0.397637870727517,0.555175441702374,0.440789722690476,148,0.16803986975,79,"survival","baden","to bathe"
"21","badderen","vocal",0.333465122532563,0.0411601996477097,0.256482648621407,0.420011333573567,0.33459818895,69,0.16803986975,79,"survival","baden","to bathe"
"22","bang","gesture",0.713438710786138,0.0373157025269747,0.633157671331451,0.783391870929689,0.689590505809524,57,0.118135777615476,38,"valence","verängstigt","scared"
"23","bang","multimodal",0.758043579817488,0.033227299529287,0.687472762850978,0.818421134398909,0.807726283425,34,0.118135777615476,38,"valence","verängstigt","scared"
"24","bang","vocal",0.693961201585873,0.0447613443640799,0.595133061172066,0.774170457344993,0.717775622931818,19,0.118135777615476,38,"valence","verängstigt","scared"
"25","been","gesture",0.524242680562393,0.0451061929491776,0.432542488196712,0.611711045602765,0.53663134325,101,0.341157617075,40,"other","Bein","leg"
"26","been","multimodal",0.515666120672714,0.0445278142926366,0.429230486238715,0.601798554186005,0.485939934425,125,0.341157617075,40,"other","Bein","leg"
"27","been","vocal",0.230534525234414,0.0386082219309077,0.162800188330142,0.318916025543513,0.195473726175,141,0.341157617075,40,"other","Bein","leg"
"28","beneden","gesture",0.600407981114342,0.0427490382501443,0.509397467026665,0.683657289258555,0.5360202085,103,0.535888895377193,101,"spatial","unten","down"
"29","beneden","multimodal",0.650681015851687,0.0394602258681412,0.568974486340605,0.723141287486465,0.710654126210526,59,0.535888895377193,101,"spatial","unten","down"
"30","beneden","vocal",0.20858619565989,0.0327817493480346,0.152190780719338,0.281495244109043,0.174765230833333,160,0.535888895377193,101,"spatial","unten","down"
"31","berg","gesture",0.62087766049062,0.0399203894785529,0.539519066044949,0.69709757971595,0.631404694928571,73,0.399789512065909,22,"environment","Berg","mountain"
"32","berg","multimodal",0.63512643878935,0.0392523748633724,0.557676568488423,0.707477019227556,0.670873185090909,72,0.399789512065909,22,"environment","Berg","mountain"
"33","berg","vocal",0.292221991868001,0.0495189468438492,0.205360894108662,0.398952774596126,0.271083673025,94,0.399789512065909,22,"environment","Berg","mountain"
"34","bijten","gesture",0.788344961875328,0.0346057871899277,0.710749666628965,0.84863584192378,0.837969670625,21,0.159944371863095,15,"vocal_oral","beißen","to bite"
"35","bijten","multimodal",0.780811330443828,0.0331117672313321,0.709499362845198,0.838644655560399,0.805057314868421,36,0.159944371863095,15,"vocal_oral","beißen","to bite"
"36","bijten","vocal",0.631514571319774,0.0554807165219607,0.514286314789867,0.732608311262766,0.678025298761905,25,0.159944371863095,15,"vocal_oral","beißen","to bite"
"37","bitter","gesture",0.292422929920138,0.0382730079195339,0.223726433668586,0.374509394985768,0.21737529575,194,0.220675803702381,71,"gustatory","bitter","bitter"
"38","bitter","multimodal",0.409843169892478,0.0399374838580706,0.333304608957614,0.489557653138118,0.438051099452381,150,0.220675803702381,71,"gustatory","bitter","bitter"
"39","bitter","vocal",0.21654433031206,0.0399887940829045,0.146422658459618,0.302878024649698,0.223094456225,123,0.220675803702381,71,"gustatory","bitter","bitter"
"40","blad","gesture",0.385411457366926,0.0416867013324215,0.305622892082689,0.473572172354041,0.369348386815789,153,0.184974657571429,26,"plant","Blatt","leaf"
"41","blad","multimodal",0.411525853019714,0.0395081367445842,0.338021997640006,0.490289558311168,0.383152066571429,163,0.184974657571429,26,"plant","Blatt","leaf"
"42","blad","vocal",0.203833104256043,0.0347737154440469,0.142534852002404,0.283286973530121,0.198177409,137,0.184974657571429,26,"plant","Blatt","leaf"
"43","blauw","gesture",0.269082462282595,0.0402564312125128,0.19622654575967,0.353611224257275,0.204086064972222,197,0.196836050922368,23,"visual","blau","blue"
"44","blauw","multimodal",0.338252293294841,0.0411801881206035,0.263042668921424,0.426075329371543,0.315064972475,174,0.196836050922368,23,"visual","blau","blue"
