"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID","perf_dyad","perf_participant_dyad","perf_participant_ID","mean_cosine_similarity","median_cosine_similarity"
44,12,0,5,1,"combined",0.780811330443828,"to bite",0,0,0.246,"bijten","boterham","vocal_oral","12_1",50,42.8571428571429,42.8571428571429,0.582714285714286,0.712
45,12,0,5,1,"combined",0.723823542025595,"to fall",0,0,0.037,"vallen","pijn","locomotion","12_1",50,42.8571428571429,42.8571428571429,0.582714285714286,0.712
24,13,0,7,1,"combined",0.808141386412857,"to breathe",0,0,0.138,"ademen","moe","olfactory","13_1",57.1428571428571,71.4285714285714,71.4285714285714,0.740142857142857,1
5,14,0,9,1,"combined",0.596218227203866,"lightning",0,0,0.074,"bliksem","vallen","environment","14_1",28.5714285714286,14.2857142857143,14.2857142857143,0.414142857142857,0.239
50,15,1,12,1,"combined",0.680855320383285,"heavy",0,0,0.084,"zwaar","bewegen","quantity","15_1",50,14.2857142857143,14.2857142857143,0.428166666666667,0.365
53,15,1,12,1,"combined",0.791051083509889,"to lick",0,0,0.178,"likken","ijsje","gustatory","15_1",50,14.2857142857143,14.2857142857143,0.428166666666667,0.365
22,18,0,17,1,"combined",0.562319704396451,"male",0,0,0.071,"man","sterk","animate","18_1",35.7142857142857,42.8571428571429,42.8571428571429,0.513142857142857,0.21
23,18,0,17,1,"combined",0.758043579817488,"scared",0,0,0.21,"bang","enthousiast","valence","18_1",35.7142857142857,42.8571428571429,42.8571428571429,0.513142857142857,0.21
34,18,1,18,1,"combined",0.63512643878935,"mountain",0,0,-0.03,"berg","ballerina","environment","18_1",35.7142857142857,28.5714285714286,28.5714285714286,0.453,0.391
30,19,1,20,1,"combined",0.595086558643404,"child",0,0,0.019,"kind","likken","social","19_1",42.8571428571429,42.8571428571429,42.8571428571429,0.561714285714286,0.468
35,19,1,20,1,"combined",0.779574764611609,"to chew",0,0,0.244,"kauwen","koekje","gustatory","19_1",42.8571428571429,42.8571428571429,42.8571428571429,0.561714285714286,0.468
25,1,0,21,1,"combined",0.82173351174681,"strong",0,0,0.142,"sterk","bodybuilder","animate","1_1",42.8571428571429,42.8571428571429,42.8571428571429,0.617142857142857,0.594
16,20,1,24,1,"combined",0.56189613651175,"to burn",0,0,0.037,"verbranden","regen","other","20_1",7.14285714285714,0,0,0.239857142857143,0.181
52,22,1,28,1,"combined",0.303234302798168,"salt",0,0,-0.045,"zout","muis","gustatory","22_1",50,14.2857142857143,14.2857142857143,0.456,0.468
40,24,0,31,1,"combined",0.647930328473485,"buzz",0,0,0.065,"zoemen","dansen","auditory","24_1",50,28.5714285714286,28.5714285714286,0.386285714285714,0.231
41,24,0,31,1,"combined",0.557153125291575,"sharp",0,0,0.021,"scherp","eten","haptic","24_1",50,28.5714285714286,28.5714285714286,0.386285714285714,0.231
52,24,1,32,1,"combined",0.83134459155959,"to cry",0,0,0.173,"huilen","baby","vocal_oral","24_1",50,71.4285714285714,71.4285714285714,0.794428571428571,1
35,29,1,42,1,"combined",0.613189302838734,"tail",0,0,0.074,"staart","afvegen","quantity","29_1",21.4285714285714,14.2857142857143,14.2857142857143,0.3575,0.2285
51,2,1,44,1,"combined",0.697044299048591,"slow",0,0,-0.082,"langzaam","verspringen","manner","2_1",42.8571428571429,42.8571428571429,42.8571428571429,0.667714285714286,0.792
43,30,0,45,1,"combined",0.771810542050373,"to blow",0,0,0.464,"blazen","wind","vocal_oral","30_1",42.8571428571429,42.8571428571429,42.8571428571429,0.592428571428571,0.593
44,31,0,47,1,"combined",0.794014980882957,"to hit",0,0,0.106,"slaan","pijn","manual","31_1",50,42.8571428571429,42.8571428571429,0.604142857142857,0.614
52,31,1,48,1,"combined",0.715821711656047,"to catch",0,0,0.321,"vangen","vissen","manual","31_1",50,57.1428571428571,57.1428571428571,0.732285714285714,1
32,33,1,52,1,"combined",0.523817227867007,"horn",0,0,0.286,"hoorn","roepen","other","33_1",42.8571428571429,42.8571428571429,42.8571428571429,0.633714285714286,0.867
16,34,1,54,1,"combined",0.599769001504526,"maybe",0,0,0.072,"misschien","radeloos","logical","34_1",28.5714285714286,14.2857142857143,14.2857142857143,0.367,0.347
17,34,1,54,1,"combined",0.852786166779168,"to laugh",0,0,0.347,"lachen","blij","vocal_oral","34_1",28.5714285714286,14.2857142857143,14.2857142857143,0.367,0.347
18,34,1,54,1,"combined",0.828901259475311,"to vomit",0,0,0.37,"kotsen","ziek","gustatory","34_1",28.5714285714286,14.2857142857143,14.2857142857143,0.367,0.347
