"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID","perf_dyad","perf_participant_dyad","perf_participant_ID","mean_cosine_similarity","median_cosine_similarity"
51,39,1,64,1,"combined",0.613189302838734,"tail",0,1,1,"staart","staart","quantity","39_1",57.1428571428571,71.4285714285714,71.4285714285714,0.855571428571429,1
54,39,1,64,1,"combined",0.806355112315007,"to fly",0,1,1,"vliegen","vliegen","locomotion","39_1",57.1428571428571,71.4285714285714,71.4285714285714,0.855571428571429,1
23,3,0,65,1,"combined",0.716614849190809,"sick",0,1,1,"ziek","ziek","animate","3_1",57.1428571428571,42.8571428571429,42.8571428571429,0.785857142857143,0.958
26,3,0,65,1,"combined",0.715821711656047,"to catch",0,1,1,"vangen","vangen","manual","3_1",57.1428571428571,42.8571428571429,42.8571428571429,0.785857142857143,0.958
31,3,1,66,1,"combined",0.577087113295253,"sour",0,1,1,"zuur","zuur","gustatory","3_1",57.1428571428571,71.4285714285714,71.4285714285714,0.845142857142857,1
34,3,1,66,1,"combined",0.831792245684357,"to run",0,1,1,"rennen","rennen","locomotion","3_1",57.1428571428571,71.4285714285714,71.4285714285714,0.845142857142857,1
35,3,1,66,1,"combined",0.828901259475311,"to vomit",0,1,1,"kotsen","kotsen","gustatory","3_1",57.1428571428571,71.4285714285714,71.4285714285714,0.845142857142857,1
4,40,0,67,1,"combined",0.595086558643404,"child",0,1,1,"kind","kind","social","40_1",57.1428571428571,57.1428571428571,57.1428571428571,0.626428571428571,1
13,40,1,68,1,"combined",0.562319704396451,"male",0,1,1,"man","man","animate","40_1",57.1428571428571,57.1428571428571,57.1428571428571,0.822857142857143,1
14,46,1,80,1,"combined",0.785049622345663,"hot",0,1,1,"heet","heet","temperature","46_1",57.1428571428571,57.1428571428571,57.1428571428571,0.642428571428571,1
18,46,1,80,1,"combined",0.588114856958718,"to stand",0,1,1,"staan","staan","locomotion","46_1",57.1428571428571,57.1428571428571,57.1428571428571,0.642428571428571,1
4,4,0,87,1,"combined",0.603966694081322,"fire",0,1,1,"vuur","vuur","object","4_1",57.1428571428571,42.8571428571429,42.8571428571429,0.481571428571429,0.243
13,4,1,88,1,"combined",0.687562055559869,"good",0,1,1,"goed","goed","valence","4_1",57.1428571428571,71.4285714285714,71.4285714285714,0.775428571428571,1
15,4,1,88,1,"combined",0.786001237160513,"to crawl",0,1,1,"kruipen","kruipen","locomotion","4_1",57.1428571428571,71.4285714285714,71.4285714285714,0.775428571428571,1
16,4,1,88,1,"combined",0.820194675119722,"to fight",0,1,1,"vechten","vechten","survival","4_1",57.1428571428571,71.4285714285714,71.4285714285714,0.775428571428571,1
40,50,0,89,1,"combined",0.771810542050373,"to blow",0,1,1,"blazen","blazen","vocal_oral","50_1",64.2857142857143,71.4285714285714,71.4285714285714,0.843285714285714,1
42,50,0,89,1,"combined",0.65119202306575,"to give",0,1,1,"geven","geven","manual","50_1",64.2857142857143,71.4285714285714,71.4285714285714,0.843285714285714,1
43,50,0,89,1,"combined",0.814537922310332,"to jump",0,1,1,"springen","springen","locomotion","50_1",64.2857142857143,71.4285714285714,71.4285714285714,0.843285714285714,1
45,50,0,89,1,"combined",0.808464019729012,"to swim",0,1,1,"zwemmen","zwemmen","locomotion","50_1",64.2857142857143,71.4285714285714,71.4285714285714,0.843285714285714,1
33,51,1,92,1,"combined",0.820863352178508,"silent",0,1,1,"stil","stil","auditory","51_1",35.7142857142857,42.8571428571429,42.8571428571429,0.566714285714286,0.412
51,54,1,98,1,"combined",0.63512643878935,"mountain",0,1,1,"berg","berg","environment","54_1",42.8571428571429,42.8571428571429,42.8571428571429,0.646285714285714,0.757
3,56,0,101,1,"combined",0.734358077385097,"dead",0,1,1,"dood","dood","animate","56_1",50,42.8571428571429,42.8571428571429,0.575428571428571,0.362
41,58,0,105,1,"combined",0.303234302798168,"salt",0,1,1,"zout","zout","gustatory","58_1",50,42.8571428571429,42.8571428571429,0.710428571428571,0.691
42,58,0,105,1,"combined",0.697044299048591,"slow",0,1,1,"langzaam","langzaam","manner","58_1",50,42.8571428571429,42.8571428571429,0.710428571428571,0.691
49,58,1,106,1,"combined",0.72586293491431,"fast",0,1,1,"snel","snel","manner","58_1",50,57.1428571428571,57.1428571428571,0.825285714285714,1
3,61,0,113,1,"combined",0.779877846324741,"dog",0,1,1,"hond","hond","animal","61_1",64.2857142857143,57.1428571428571,57.1428571428571,0.803,1
5,61,0,113,1,"combined",0.797175441371254,"happy",0,1,1,"blij","blij","valence","61_1",64.2857142857143,57.1428571428571,57.1428571428571,0.803,1
6,61,0,113,1,"combined",0.680855320383285,"heavy",0,1,1,"zwaar","zwaar","quantity","61_1",64.2857142857143,57.1428571428571,57.1428571428571,0.803,1
15,61,1,114,1,"combined",0.83134459155959,"to cry",0,1,1,"huilen","huilen","vocal_oral","61_1",64.2857142857143,71.4285714285714,71.4285714285714,0.814714285714286,1
16,61,1,114,1,"combined",0.799176047935077,"to eat",0,1,1,"eten","eten","vocal_oral","61_1",64.2857142857143,71.4285714285714,71.4285714285714,0.814714285714286,1
17,61,1,114,1,"combined",0.852786166779168,"to laugh",0,1,1,"lachen","lachen","vocal_oral","61_1",64.2857142857143,71.4285714285714,71.4285714285714,0.814714285714286,1
