welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,ppn,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,4.0,"[0.43239999985694766,0.45090000009537334,0.43690000009537044,0.3521999998092653]","[0.43250000000000455,0.45090000009537334,0.4370000000000047,0.3521999998092653]",-0.085185185,0.4529,0.0,1.0,1.0,1.0,1.0,leeuw,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,3.0,"[18.72389999985695,25.6845,31.76279999995232]","[18.724000000000004,25.6845,31.76279999995232]",3.0,"[20.60810000014305,26.745800000190737,32.85680000019073]","[20.608200000047685,26.74590000009537,32.856900000095365]",5.0,"[0.43239999985694766,0.45090000009537334,0.43690000009537044,0.3521999998092653,0.36650000000000205]","[0.43250000000000455,0.45090000009537334,0.4370000000000047,0.3521999998092653,0.36650000000000205]",-0.135185185,0.415,0.0,0.0,0.0,1.0,1.0,moe,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,6.0,"[0.43239999985694766,0.45090000009537334,0.43690000009537044,0.3521999998092653,0.36650000000000205,0.34979999995231736]","[0.43250000000000455,0.45090000009537334,0.4370000000000047,0.3521999998092653,0.36650000000000205,0.34990000009536715]",0.011111111,0.3783,0.0,1.0,1.0,0.0,1.0,liefde,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[36.5275],[36.5275],,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[38.26879999995232],[38.26889999985695],1.0,[39.626],[39.626],1.0,40.5424,1.0,[0.38220000004768195],[0.3822999999523162],-0.025925926,0.8923,0.0,0.0,0.0,69.0,1.0,glad,gglad,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,42.283,2.0,"[0.38220000004768195,0.40020000004768264]","[0.3822999999523162,0.4002999999523169]",-0.1,1.1185,0.0,1.0,1.0,202.0,1.0,vlinder,gvlinder,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.8326,3.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674]","[0.3822999999523162,0.4002999999523169,0.33329999995231674]",-0.209259259,1.1703,0.0,2.0,2.0,133.0,1.0,ster,gster,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,45.3284,4.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993]",0.148148148,1.1249,0.0,3.0,3.0,44.0,1.0,lucht,glucht,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,46.8722,5.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806]",-0.096296296,1.1469,0.0,4.0,4.0,182.0,1.0,naam,gnaam,question_gesture.png,im_hand.png
