welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,xRes,yRes,sensorypref[],sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,6.0,"[2.646600000023824,1.9739000000953695,0.6148000000715115,0.6996000000238212,0.4989999999999952,0.4714999999999918]","[2.6466999999284724,1.9739000000953695,0.6148000000715115,0.6997000000476703,0.4989999999999952,0.47160000002384095]",0.664814928,2.3837,0.0,1.0,1.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[156.27610000002386],[156.27610000002386],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[162.32069999992848],[162.32069999992848],1.0,[164.10410000002383],[164.10440000009538],7.0,165.5499,1.0,[1.2988000000715374],[1.2988000000715374],-0.490740712,5.9126,0.0,0.0,0.0,104.0,1.0,luis,mluis,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,172.1251,2.0,"[1.2988000000715374,0.5496000000238439]","[1.2988000000715374,0.5496000000238439]",0.092592706,3.368,0.0,1.0,1.0,194.0,1.0,touw,mtouw,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,176.1303,3.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647]","[1.2988000000715374,0.5496000000238439,1.5832999999523167]",-0.666666667,4.5891,0.0,2.0,2.0,83.0,1.0,uit,muit,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,181.4993,4.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048]",0.383333333,3.5927,0.0,3.0,3.0,59.0,1.0,hoog,mhoog,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,186.6445,5.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848]",0.283333333,2.639,0.0,4.0,4.0,84.0,1.0,kort,mkort,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,189.8744,6.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322]",0.662963019,4.4571,0.0,5.0,5.0,114.0,1.0,borst,mborst,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,195.3713,7.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665]",-0.85,4.7932,0.0,6.0,6.0,128.0,1.0,weten,mweten,question_multimodal.png,im_combination.png,,,,,,
