welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,xRes,yRes,sensorypref[],sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,4.0,"[0.416899999976156,0.4007999999523193,0.7507000000476864,0.48380000007152546]","[0.416899999976156,0.4008999999761613,0.7507000000476864,0.4839000000953675]",0.746296353,1.0134,0.0,1.0,1.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,3.0,"[20.353499999999997,28.712800000071525,36.8885]","[20.35360000002384,28.712900000095367,36.8885]",3.0,"[22.101399999976156,29.926600000023846,38.803700000047684]","[22.101499999999998,29.92670000004769,38.80379999995232]",5.0,"[0.416899999976156,0.4007999999523193,0.7507000000476864,0.48380000007152546,2.419400000095365]","[0.416899999976156,0.4008999999761613,0.7507000000476864,0.4839000000953675,2.4194999999999993]",0.655555725,1.2409,0.0,0.0,0.0,0.0,1.0,koken,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,6.0,"[0.416899999976156,0.4007999999523193,0.7507000000476864,0.48380000007152546,2.419400000095365,0.7673999999761563]","[0.416899999976156,0.4008999999761613,0.7507000000476864,0.4839000000953675,2.4194999999999993,0.7674999999999983]",0.65370376,1.4072,0.0,1.0,1.0,1.0,1.0,leeuw,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[51.29390000009537],[51.294000000000004],,,,,,,,,,,,,,,,,,,,,,
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[56.50919999992848],[56.50919999992848],1.0,[58.71010000002384],[58.71020000004769],22.0,60.0996,0.0,[],[],,,0.0,0.0,0.0,150.0,1.0,huilen,ghuilen,question_gesture.png,im_hand.png
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,61.1094,0.0,[],[],,,0.0,1.0,1.0,183.0,1.0,jij,gjij,question_gesture.png,im_hand.png
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,62.0939,0.0,[],[],,,0.0,2.0,2.0,21.0,1.0,heden,gheden,question_gesture.png,im_hand.png
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,63.1245,0.0,[],[],,,0.0,3.0,3.0,188.0,1.0,verstoppen,gverstoppen,question_gesture.png,im_hand.png
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,64.1109,0.0,[],[],,,0.0,4.0,4.0,10.0,1.0,strak,gstrak,question_gesture.png,im_hand.png
,,,23588,1,21,2023-10-07_10h34.02.416,flesh_expressibility_dutch,2022.2.4,Win32,60.07449237,,,,18.0,2.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,65.1332,0.0,[],[],,,0.0,5.0,5.0,124.0,1.0,nek,gnek,question_gesture.png,im_hand.png
