welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,ppn,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[43.53190000009537],[43.532000000000004],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[45.327000000000005],[45.327000000000005],1.0,[46.333999999999996],[46.333999999999996],2.0,47.7109,1.0,[0.5349999999999966],[0.5352000000476806],-0.107407407,1.5215,0.0,0.0,0.0,48.0,1.0,vliegen,gvliegen,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,49.8366,2.0,"[0.5349999999999966,0.31630000019073634]","[0.5352000000476806,0.31630000019073634]",-0.066666667,1.1749,0.0,1.0,1.0,33.0,1.0,dromen,gdromen,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,51.2643,2.0,"[0.5349999999999966,0.31630000019073634]","[0.5352000000476806,0.31630000019073634]",,,0.0,2.0,2.0,4.0,1.0,fluisteren,gfluisteren,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,52.8603,3.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066]","[0.5352000000476806,0.31630000019073634,0.3162999999523066]",-0.044444444,2.0066,0.0,3.0,3.0,194.0,1.0,touw,gtouw,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,61.1887,3.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066]","[0.5352000000476806,0.31630000019073634,0.3162999999523066]",,,0.0,4.0,4.0,189.0,1.0,as,gas,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,62.179,4.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581]",-0.075925926,1.7917,0.0,5.0,5.0,127.0,1.0,vleugel,gvleugel,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,65.9851,5.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482]",0.001851852,3.3953,0.0,6.0,6.0,64.0,1.0,smaak,gsmaak,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,83.1412,6.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.4488999998569483]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.44899999999999807]",0.164814815,16.897,0.0,7.0,7.0,54.0,1.0,snel,gsnel,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,84.7494,7.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.4488999998569483,0.48269999980925604]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.44899999999999807,0.48279999995232004]",-0.007407407,1.2038,0.0,8.0,8.0,57.0,1.0,fruit,gfruit,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,87.0934,8.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.4488999998569483,0.48269999980925604,0.4913000001907335]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.44899999999999807,0.48279999995232004,0.4913000001907335]",0.001851852,3.2765,0.0,9.0,9.0,125.0,1.0,huid,ghuid,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,91.3445,9.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.4488999998569483,0.48269999980925604,0.4913000001907335,0.3672000000476885]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.44899999999999807,0.48279999995232004,0.4913000001907335,0.3672000000476885]",-0.011111111,2.0033,0.0,10.0,10.0,47.0,1.0,kruipen,gkruipen,question_gesture.png,im_hand.png,,,,,
,,,1,3,2023-05-30_16h08.59.122,flesh_expressibility_dutch,2022.2.4,Win32,60.02040694,183238,,,,19.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,93.3695,10.0,"[0.5349999999999966,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.4488999998569483,0.48269999980925604,0.4913000001907335,0.3672000000476885,0.34940000009535765]","[0.5352000000476806,0.31630000019073634,0.3162999999523066,0.3491999998092581,0.3331000001430482,0.44899999999999807,0.48279999995232004,0.4913000001907335,0.3672000000476885,0.34940000009535765]",0.109259259,1.6693,0.0,11.0,11.0,157.0,1.0,wortel,gwortel,question_gesture.png,im_hand.png,,,,,
