welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref2,xRes,yRes,sensorypref[],sensorypref1,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
1.0,[3.695300000190734],[3.6954000000953666],486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,1.0,[11.056700000047682],[11.056799999952316],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,on,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,1.0,[74.51709999990463],[74.51720000004768],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,1.0,[85.423],[85.423],1.0,[90.03670000004769],[90.03670000004769],1.0,[1.0337000000476877],[1.033799999952322],0.646296353,15.2243,0.0,0.0,0.0,0.0,1.0,liefde,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,2.0,"[1.0337000000476877,1.1834999999999951]","[1.033799999952322,1.183600000143045]",0.729629686,5.7734,0.0,1.0,1.0,1.0,1.0,moe,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,2.0,"[85.423,120.95660000014306]","[85.423,120.95690000009537]",2.0,"[90.03670000004769,122.70340000009534]","[90.03670000004769,122.70340000009534]",3.0,"[1.0337000000476877,1.1834999999999951,4.383700000047668]","[1.033799999952322,1.183600000143045,4.383700000047668]",0.542592706,8.4986,0.0,0.0,0.0,1.0,1.0,auto,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,4.0,"[1.0337000000476877,1.1834999999999951,4.383700000047668,1.8502000000476642]","[1.033799999952322,1.183600000143045,4.383700000047668,1.8502999999523126]",0.898148261,3.2216,0.0,1.0,1.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,486236,1,21,2023-07-13_19h08.33.268,flesh_expressibility_dutch,2022.2.4,Win32,60.07810153,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,4.0,,sensorypref2,1280.0,720.0,,,,,,,,3.0,"[85.423,120.95660000014306,152.4562000000477]","[85.423,120.95690000009537,152.4562999999523]",3.0,"[90.03670000004769,122.70340000009534,153.77640000009535]","[90.03670000004769,122.70340000009534,153.77640000009535]",5.0,"[1.0337000000476877,1.1834999999999951,4.383700000047668,1.8502000000476642,0.6838999998569477]","[1.033799999952322,1.183600000143045,4.383700000047668,1.8502999999523126,0.684099999904646]",0.58703715,3.9407,0.0,0.0,0.0,0.0,1.0,koken,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
