welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,sensorypref3,sensorypref4,xRes,yRes,sensorypref[],practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[234.36940000000595],[234.36959999999402],1.0,[239.854],[239.85420000000298],14.0,241.3402,1.0,[0.6825999999940109],[0.6827999999970302],-0.89444443,3.6386,0.0,0.0,0.0,143.0,1.0,vermalen,mvermalen,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,245.7597,2.0,"[0.6825999999940109,0.7416999999881]","[0.6827999999970302,0.7418999999910625]",0.248148176,3.9655,0.0,1.0,1.0,42.0,1.0,berg,mberg,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,250.6696,3.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195]","[0.6827999999970302,0.7418999999910625,1.320399999991082]",-0.303703732,3.3092,0.0,2.0,2.0,28.0,1.0,man,mman,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,255.0806,4.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409]",0.681481538,3.2904,0.0,3.0,3.0,48.0,1.0,vliegen,mvliegen,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,259.0663,5.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473]",0.890740854,5.4348,0.0,4.0,4.0,35.0,1.0,boos,mboos,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,265.1105,6.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473,1.6804000000059318]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473,1.6807000000029575]",-0.498148176,3.5731,0.0,5.0,5.0,97.0,1.0,doen,mdoen,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,270.4399,7.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473,1.6804000000059318,0.6694000000059646]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473,1.6807000000029575,0.6695000000000277]",0.511111083,5.2082,0.0,6.0,6.0,70.0,1.0,aanraken,maanraken,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,276.1668,8.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473,1.6804000000059318,0.6694000000059646,0.5355000000000132]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473,1.6807000000029575,0.6695000000000277,0.5355000000000132]",0.864814758,2.9121,0.0,7.0,7.0,30.0,1.0,sterk,msterk,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,279.653,9.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473,1.6804000000059318,0.6694000000059646,0.5355000000000132,0.7109000000059496]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473,1.6807000000029575,0.6695000000000277,0.5355000000000132,0.7110999999940191]",0.075925898,3.4825,0.0,8.0,8.0,122.0,1.0,lever,mlever,question_multimodal.png,im_combination.png,,,,,,
,,,s1115009,1,21,2023-09-20_15h01.24.423,flesh_expressibility_dutch,2022.2.4,Win32,60.3646022,,,,18.0,1.0,Nederlands,,,,,,Engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,2.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,283.8489,10.0,"[0.6825999999940109,0.7416999999881,1.3201999999881195,0.7047999999970216,0.5175999999940473,1.6804000000059318,0.6694000000059646,0.5355000000000132,0.7109000000059496,0.4880999999940627]","[0.6827999999970302,0.7418999999910625,1.320399999991082,0.7050000000000409,0.5175999999940473,1.6807000000029575,0.6695000000000277,0.5355000000000132,0.7110999999940191,0.48819999998806907]",0.890740854,2.8772,0.0,9.0,9.0,51.0,1.0,lopen,mlopen,question_multimodal.png,im_combination.png,,,,,,
