welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,button_confirm.numClicks,button_confirm.timesOn,button_confirm.timesOff,button_exit.numClicks,button_exit.timesOn,button_exit.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,2.0,"[18.426100000023844,24.27129999995232]","[18.426100000023844,24.271500000000003]",2.0,"[19.45489999997616,25.38339999997616]","[19.455000000000002,25.38339999997616]",3.0,"[0.4163999999761572,0.41619999992847667,0.3500000000000014]","[0.4163999999761572,0.41619999992847667,0.35010000002384345]",-0.037037037,0.5476,0.0,0.0,0.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,4.0,"[0.4163999999761572,0.41619999992847667,0.3500000000000014,0.2998000000715173]","[0.4163999999761572,0.41619999992847667,0.35010000002384345,0.29990000009535933]",-0.053703704,0.3761,0.0,1.0,1.0,1.0,1.0,auto,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,3.0,"[18.426100000023844,24.27129999995232,29.916899999976156]","[18.426100000023844,24.271500000000003,29.916999999999998]",3.0,"[19.45489999997616,25.38339999997616,31.31170000004768]","[19.455000000000002,25.38339999997616,31.31180000007152]",5.0,"[0.4163999999761572,0.41619999992847667,0.3500000000000014,0.2998000000715173,0.5162999999523166]","[0.4163999999761572,0.41619999992847667,0.35010000002384345,0.29990000009535933,0.5163999999761586]",-0.007407407,1.2154,0.0,0.0,0.0,1.0,1.0,leeuw,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,6.0,"[0.4163999999761572,0.41619999992847667,0.3500000000000014,0.2998000000715173,0.5162999999523166,0.3999999999999986]","[0.4163999999761572,0.41619999992847667,0.35010000002384345,0.29990000009535933,0.5163999999761586,0.4001000000238406]",-0.02037037,2.5041,0.0,1.0,1.0,0.0,1.0,koken,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[38.327],[38.327],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[42.32920000004768],[42.32929999995231],1.0,[43.656499999999994],[43.65660000002384],1.0,44.5445,1.0,[0.4498999999761608],[0.45000000000000284],-0.159259259,1.1415,0.0,0.0,0.0,70.0,1.0,aanraken,vaanraken,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,46.2615,2.0,"[0.4498999999761608,0.41629999995231515]","[0.45000000000000284,0.4163999999761572]",-0.048148148,0.8698,0.0,1.0,1.0,180.0,1.0,het,vhet,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,47.9202,3.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735]","[0.45000000000000284,0.4163999999761572,0.39970000004768735]",0.014814815,1.0859,0.0,2.0,2.0,94.0,1.0,nu,vnu,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,49.8304,4.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014]",-0.07962963,1.5208,0.0,3.0,3.0,81.0,1.0,vriend,vvriend,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,51.3719,5.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387]",0.001851852,1.4873,0.0,4.0,4.0,5.0,1.0,honing,vhoning,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,54.4863,6.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874]",-0.135185185,2.7044,0.0,5.0,5.0,93.0,1.0,kleding,vkleding,question_vocal.png,im_mouth.png,,,,,
