welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,xRes,yRes,sensorypref[],sensorypref1,sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,3.0,"[81.06839999997615,131.1025,154.0605]","[81.0685,131.10260000002384,154.06060000002384]",3.0,"[95.54520000004767,136.11060000002382,161.3305]","[95.54540000003576,136.11080000001192,161.33060000002382]",5.0,"[0.7326999999880854,3.002899999976165,0.7498999999761509,0.7325999999642363,2.1146000000238416]","[0.7326999999880854,3.002999999999986,0.75,0.732699999988057,2.1147000000476908]",0.872395833,3.1535,0.0,0.0,0.0,1.0,1.0,leeuw,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,6.0,"[0.7326999999880854,3.002899999976165,0.7498999999761509,0.7325999999642363,2.1146000000238416,0.6330000000000098]","[0.7326999999880854,3.002999999999986,0.75,0.732699999988057,2.1147000000476908,0.6331999999880793]",0.104166667,7.1956,0.0,1.0,1.0,0.0,1.0,koken,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[184.87289999997614],[184.873],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[195.1995],[195.19959999996425],1.0,[198.91140000003577],[198.9115],19.0,200.3662,1.0,[0.8163000000119212],[0.8163999999761415],-0.674479167,9.303,0.0,0.0,0.0,147.0,1.0,knopen,vknopen,question_vocal.png,im_mouth.png,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,210.5319,2.0,"[0.8163000000119212,0.9829000000357553]","[0.8163999999761415,0.9829999999999757]",-0.307291667,5.2033,0.0,1.0,1.0,38.0,1.0,blij,vblij,question_vocal.png,im_mouth.png,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,216.6762,3.0,"[0.8163000000119212,0.9829000000357553,0.6998999999761395]","[0.8163999999761415,0.9829999999999757,0.6999999999999886]",0.463541667,6.9129,0.0,2.0,2.0,110.0,1.0,tand,vtand,question_vocal.png,im_mouth.png,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,224.3567,4.0,"[0.8163000000119212,0.9829000000357553,0.6998999999761395,0.5673000000118975]","[0.8163999999761415,0.9829999999999757,0.6999999999999886,0.5673999999761463]",0.057291667,3.7126,0.0,3.0,3.0,111.0,1.0,rug,vrug,question_vocal.png,im_mouth.png,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,228.6584,5.0,"[0.8163000000119212,0.9829000000357553,0.6998999999761395,0.5673000000118975,0.46919999998809203]","[0.8163999999761415,0.9829999999999757,0.6999999999999886,0.5673999999761463,0.46930000001191274]",-0.111979167,4.3038,0.0,4.0,4.0,190.0,1.0,ei,vei,question_vocal.png,im_mouth.png,,,,,,
,,,471212,1,21,2023-09-20_16h46.58.558,flesh_expressibility_dutch,2022.2.4,Win32,60.0060006,,,,19.0,1.0,Nederlands,,,,,,Engels,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,233.4711,5.0,"[0.8163000000119212,0.9829000000357553,0.6998999999761395,0.5673000000118975,0.46919999998809203]","[0.8163999999761415,0.9829999999999757,0.6999999999999886,0.5673999999761463,0.46930000001191274]",,,0.0,5.0,5.0,94.0,1.0,nu,vnu,question_vocal.png,im_mouth.png,,,,,,
