welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,4.0,"[0.3171999999284729,0.2677999999523131,0.3498999999761594,0.26679999995231185]","[0.31729999995231495,0.2678999999761551,0.3499999999999943,0.266899999976161]",-0.027777778,0.4543,0.0,1.0,1.0,1.0,1.0,leeuw,question_multimodal.png,im_combination.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,3.0,"[20.317799999952317,26.838699999928473,32.683899999976155]","[20.317799999952317,26.838699999928473,32.684000000000005]",3.0,"[21.49639999997616,27.96730000007152,33.86260000002383]","[21.4965,27.967399999976156,33.86270000004768]",5.0,"[0.3171999999284729,0.2677999999523131,0.3498999999761594,0.26679999995231185,0.29970000004769304]","[0.31729999995231495,0.2678999999761551,0.3499999999999943,0.266899999976161,0.29989999997616223]",-0.009259259,0.6308,0.0,0.0,0.0,0.0,1.0,liefde,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,6.0,"[0.3171999999284729,0.2677999999523131,0.3498999999761594,0.26679999995231185,0.29970000004769304,0.5163999999761586]","[0.31729999995231495,0.2678999999761551,0.3499999999999943,0.266899999976161,0.29989999997616223,0.5163999999761586]",-0.033333333,0.572,0.0,1.0,1.0,1.0,1.0,moe,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[59.907899999976145],[59.907899999976145],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,[61.688300000071514],[61.68839999997615],1.0,[62.66760000002384],[62.66760000002384],2.0,64.0171,1.0,[0.24990000009536573],[0.25],-0.059259259,1.3358,0.0,0.0,0.0,38.0,1.0,blij,vblij,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,65.6628,2.0,"[0.24990000009536573,0.233400000095358]","[0.25,0.233400000095358]",-0.037037037,1.1528,0.0,1.0,1.0,12.0,1.0,ademen,vademen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,67.1127,2.0,"[0.24990000009536573,0.233400000095358]","[0.25,0.233400000095358]",,,0.0,2.0,2.0,183.0,1.0,jij,vjij,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,68.1032,3.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508]","[0.25,0.233400000095358,0.24989999997616508]",-0.027777778,1.3786,0.0,3.0,3.0,20.0,1.0,verleden,vverleden,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,69.7351,4.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472]",-0.283333333,1.3733,0.0,4.0,4.0,150.0,1.0,huilen,vhuilen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,71.5808,4.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472]",,,0.0,5.0,5.0,40.0,1.0,bang,vbang,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,72.5881,5.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023]",0.387037037,1.4136,0.0,6.0,6.0,106.0,1.0,hand,vhand,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,74.1111,5.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023]",,,0.0,7.0,7.0,15.0,1.0,geel,vgeel,question_vocal.png,im_mouth.png,,,,,
