welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,xRes,yRes,sensorypref[],sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
1.0,[6.530300000000047],[6.530300000000047],582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,1.0,[27.728700000000185],[27.728700000000185],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,on,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,1.0,[101.1415],[101.14169999999994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,1.0,[112.85719999999996],[112.85719999999996],1.0,[144.1232000000002],[144.12330000000006],1.0,[7.8007999999998106],[7.8007999999998106],0.498148148,24.4043,0.0,0.0,0.0,1.0,1.0,auto,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,,,,,,,2.0,"[7.8007999999998106,4.249500000000012]","[7.8007999999998106,4.249500000000012]",0.303703704,10.0934,0.0,1.0,1.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,2.0,"[112.85719999999996,199.85700000000003]","[112.85719999999996,199.85700000000003]",2.0,"[144.1232000000002,217.7735]","[144.12330000000006,217.7736000000001]",3.0,"[7.8007999999998106,4.249500000000012,0.5999000000001331]","[7.8007999999998106,4.249500000000012,0.5999999999999943]",-0.096296296,18.6661,0.0,0.0,0.0,1.0,1.0,moe,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,582962,1,3,2023-05-31_09h20.58.768,flesh_expressibility_dutch,2022.2.4,Win32,60.5877007,,,,25.0,1.0,Nederlands,,,,,,Engels,3.0,Spaans,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,2.0,,sensorypref1,sensorypref2,1920.0,1080.0,,,,,,,,,,,,,4.0,"[7.8007999999998106,4.249500000000012,0.5999000000001331,1.2665000000000077]","[7.8007999999998106,4.249500000000012,0.5999999999999943,1.2665000000000077]",0.105555556,17.8808,0.0,1.0,1.0,0.0,1.0,liefde,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
