welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,button_confirm.numClicks,button_confirm.timesOn,button_confirm.timesOff,button_exit.numClicks,button_exit.timesOn,button_exit.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,xRes,yRes,sensorypref[],sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179.3287,2.0,"[0.9016999999999484,0.8347000000000264]","[0.9017999999999802,0.8347000000000264]",-0.665434589,4.43,0.0,1.0,1.0,14.0,1.0,licht,mlicht,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,184.0417,3.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454]","[0.9017999999999802,0.8347000000000264,0.9852000000000203]",-0.287639468,2.6496,0.0,2.0,2.0,84.0,1.0,kort,mkort,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,187.6271,4.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747]",-0.628959954,3.2414,0.0,3.0,3.0,201.0,1.0,gisteren,mgisteren,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,192.6222,5.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468]",-0.306579884,10.5945,0.0,4.0,4.0,1.0,1.0,zoemen,mzoemen,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203.9178,6.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026]",-0.664927208,5.2702,0.0,5.0,5.0,203.0,1.0,kat,mkat,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,209.6545,7.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996,0.7511000000000365]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026,0.7511000000000365]",0.463619889,3.1459,0.0,6.0,6.0,53.0,1.0,gooien,mgooien,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,213.5479,8.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996,0.7511000000000365,0.8845999999999776]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026,0.7511000000000365,0.8847000000000094]",0.388177619,2.8844,0.0,7.0,7.0,152.0,1.0,eten,meten,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,217.3387,9.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996,0.7511000000000365,0.8845999999999776,0.8513999999999555]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026,0.7511000000000365,0.8847000000000094,0.8513999999999555]",-0.621749608,2.4668,0.0,8.0,8.0,177.0,1.0,kind,mkind,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221.1293,10.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996,0.7511000000000365,0.8845999999999776,0.8513999999999555,1.7527999999999793]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026,0.7511000000000365,0.8847000000000094,0.8513999999999555,1.7529000000000394]",-0.744766186,3.2592,0.0,9.0,9.0,196.0,1.0,steen,msteen,question_multimodal.png,im_combination.png,,,,,
,,,1,3,2023-05-15_07h44.04.495,flesh_expressibility_dutch,2022.2.4,Linux x86_64,59.90534955,,,,,,,,,,,,,,,,,37.0,1.0,nederlands,,,,,,engels,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,7.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1745.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,226.149,11.0,"[0.9016999999999484,0.8347000000000264,0.9851000000000454,1.1190999999999747,0.7848000000000468,0.968199999999996,0.7511000000000365,0.8845999999999776,0.8513999999999555,1.7527999999999793,0.9848999999999819]","[0.9017999999999802,0.8347000000000264,0.9852000000000203,1.1190999999999747,0.7848000000000468,0.9684000000000026,0.7511000000000365,0.8847000000000094,0.8513999999999555,1.7529000000000394,0.9848999999999819]",-0.618104919,3.3087,0.0,10.0,10.0,25.0,1.0,dood,mdood,question_multimodal.png,im_combination.png,,,,,
