welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,sensorypref3,sensorypref4,xRes,yRes,sensorypref[],practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
1.0,[6.195499999999999],[6.195499999999999],988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,1.0,[15.056399999976158],[15.056399999976158],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,on,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,1.0,[135.729],[135.72910000002386],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,,,,1.0,[152.50960000002385],[152.50969999998807],1.0,[158.976],[158.976],1.0,[4.85069999998808],[4.85080000001193],0.637395833,21.0389,0.0,0.0,0.0,0.0,1.0,baby,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,,,,,,,,,,2.0,"[4.85069999998808,0.9013999999761495]","[4.85080000001193,0.9014999999999986]",-0.325260417,22.4384,0.0,1.0,1.0,1.0,1.0,auto,question_gesture.png,im_hand.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988082,1,21,2023-06-15_19h07.22.199,flesh_expressibility_dutch,2022.2.4,MacIntel,59.99880002,,,,19.0,1.0,Nederlands ,,,,,,Engels ,3.0,Frans ,1.0,Duits ,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,sensorypref3,sensorypref4,1440.0,900.0,,,,,2.0,"[152.50960000002385,215.33010000002386]","[152.50969999998807,215.33020000004768]",2.0,"[158.976,220.25980000001192]","[158.976,220.25990000003577]",3.0,"[4.85069999998808,0.9013999999761495,0.8341000000238523]","[4.85080000001193,0.9014999999999986,0.8341000000238523]",-0.1209375,26.6079,0.0,0.0,0.0,1.0,1.0,moe,question_vocal.png,im_mouth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
