ID,exp_start,block_start,practice,cycle,display_start,trial_start,trial_end,RT,word,modality,correction,answer,points
7,90.82503720000022,117.73131019999892,practice,0,192.02558409999983,209.3465445999991,216.6508689000002,219.06147659999988,geheim,gebaren,0,stil,0
7,90.82503720000022,117.73131019999892,practice,0,222.90580149999914,233.88947009999902,240.52940200000012,249.20747689999916,geheim,gebaren,1,geluid,0
7,90.82503720000022,117.73131019999892,practice,0,253.46847720000005,262.59366299999965,268.2088779000005,272.02765550000004,geheim,gebaren,2,luisteren,0
7,90.82503720000022,117.73131019999892,practice,0,274.87968869999895,282.49587079999947,287.30310519999875,289.5219500000003,klok,gebaren,0,klok,0
7,90.82503720000022,117.73131019999892,none,0,293.5074413000002,296.5742713999989,301.25793200000044,303.2498966000003,hoog,gebaren,0,lang,0
7,90.82503720000022,117.73131019999892,none,0,306.26771759999974,310.17428519999885,314.5799556999991,316.39261570000053,hoog,gebaren,1,hoog,1
7,90.82503720000022,117.73131019999892,none,0,317.28592410000056,322.0535791000002,325.4932226000001,329.87785950000034,man,gebaren,0,sterk,0
7,90.82503720000022,117.73131019999892,none,0,332.68020479999905,333.76517950000016,339.2173382000001,344.9634922999994,man,gebaren,1,testosteron,0
7,90.82503720000022,117.73131019999892,none,0,348.7074417999993,351.68719930000043,356.0915824999993,361.817026499999,man,gebaren,2,man,0.5
7,90.82503720000022,117.73131019999892,none,0,362.8594155999999,365.7920032999991,374.06350360000033,376.20982269999877,stil,gebaren,0,stil,2
7,90.82503720000022,117.73131019999892,none,0,376.96160319999944,380.61853489999885,386.7357272999998,388.7950182000004,slang,gebaren,0,haai,0
7,90.82503720000022,117.73131019999892,none,0,394.1472457999989,398.8661119999997,406.13837609999973,410.57333669999935,slang,gebaren,1,eng,0
7,90.82503720000022,117.73131019999892,none,0,415.4007158000004,429.09024169999975,436.9088069999998,439.3109261999998,slang,gebaren,2,vis,0
7,90.82503720000022,117.73131019999892,none,0,443.4717478999992,446.72231439999996,450.6293896999996,454.0712172000003,weten,gebaren,0,slim,0
7,90.82503720000022,117.73131019999892,none,0,457.29037869999956,458.4897194999994,462.2443096999996,464.26453409999885,weten,gebaren,1,brein,0
7,90.82503720000022,117.73131019999892,none,0,467.3333569999995,470.9682520999995,474.9482814999992,476.7747340999995,weten,gebaren,2,idee,0
7,90.82503720000022,117.73131019999892,none,0,480.4105394999988,482.6801450999992,486.7328132999992,488.71826899999905,slapen,gebaren,0,slapen,2
7,90.82503720000022,117.73131019999892,none,0,489.69459710000046,491.8521067999991,496.9884934999991,499.7196580999989,zwemmen,gebaren,0,zwemmen,2
7,90.82503720000022,117.73131019999892,practice,1,548.5287403999992,554.5352867000001,562.103828199999,565.5046373999994,sneeuw,gebaren,0,sneeuwpop,0
7,90.82503720000022,117.73131019999892,practice,1,568.7731169999988,572.0202563000003,577.3082725999993,579.8315796999996,sneeuw,gebaren,1,sneeuw,0
7,90.82503720000022,117.73131019999892,practice,1,580.8834764999992,584.1489514000004,588.8971925999995,591.4510551000003,eend,gebaren,0,zeuren,0
7,90.82503720000022,117.73131019999892,practice,1,595.0857259000004,598.5385100999993,601.7124346,608.9275485999988,eend,gebaren,1,kippen,0
7,90.82503720000022,117.73131019999892,practice,1,612.7131795999994,613.3061369999996,619.1167203000005,621.3295252999997,eend,gebaren,2,kuiken,0
7,90.82503720000022,117.73131019999892,none,1,630.6825611000004,636.1860789999992,640.2261626,642.6167394999993,kind,gebaren,0,kuiken,0
7,90.82503720000022,117.73131019999892,none,1,647.7768032999993,651.3645457999992,654.8970092,657.1596860999998,kind,gebaren,1,kind,1
7,90.82503720000022,117.73131019999892,none,1,658.2199001999998,662.1676590999996,667.9244696999995,669.978395099999,bliksem,gebaren,0,bliksem,2
7,90.82503720000022,117.73131019999892,none,1,670.7549417999999,673.3174756999997,676.5524215999994,678.4712405999999,zoet,gebaren,0,smaken,0
7,90.82503720000022,117.73131019999892,none,1,681.6649395999993,684.059638499999,688.4744596,689.7980358000004,zoet,gebaren,1,lekker,0
7,90.82503720000022,117.73131019999892,none,1,692.7250432000001,694.5045412999989,699.0580016999993,701.3584836999999,zoet,gebaren,2,zoet,0.5
7,90.82503720000022,117.73131019999892,none,1,702.8266005999994,704.6500968,706.9148516999994,708.2590077000004,bijten,gebaren,0,bijten,2
7,90.82503720000022,117.73131019999892,none,1,709.1689547999995,711.0361369000002,714.198417399999,715.618497899999,kauwen,gebaren,0,happen,0
7,90.82503720000022,117.73131019999892,none,1,719.2789670999991,720.1900399999995,724.2042877999993,725.5699853999995,kauwen,gebaren,1,eten,0
7,90.82503720000022,117.73131019999892,none,1,729.4307131999994,730.5128487000002,735.1828332999994,736.7049797,kauwen,gebaren,2,kauwen,0.5
7,90.82503720000022,117.73131019999892,none,1,737.5566498999997,739.4718966,743.112330599999,744.9980071999998,vallen,gebaren,0,vallen,2
7,90.82503720000022,117.73131019999892,none,1,745.6413228999991,748.0164409999998,751.8326135999996,755.4076151999998,wind,gebaren,0,verdrinken,0
7,90.82503720000022,117.73131019999892,none,1,759.2520562999998,760.1348459000001,764.8599216999992,766.2759019000005,wind,gebaren,1,waaien,0
7,90.82503720000022,117.73131019999892,none,1,770.7283674999999,773.0216519000005,779.5382129999998,781.1282611999995,wind,gebaren,2,golven,0
7,90.82503720000022,787.0054724999991,practice,0,857.7412246999993,868.5954753999995,875.2752051999996,880.3763313999989,vliegtuig,geluiden,0,vliegtuig,0
7,90.82503720000022,787.0054724999991,practice,0,881.4778931000001,890.7416990000002,893.7457386999995,896.5869936999989,glimlach,geluiden,0,vieren,0
7,90.82503720000022,787.0054724999991,practice,0,899.5809530999995,902.6127082999992,906.4408946999993,909.380629199999,glimlach,geluiden,1,giegelen,0
7,90.82503720000022,787.0054724999991,practice,0,913.7495636999993,926.8283130999989,930.5289704999996,936.8014076999989,glimlach,geluiden,2,poseren,0
7,90.82503720000022,787.0054724999991,none,0,944.3537737999995,946.7121322000003,950.8474809999989,954.1455710999999,zwaar,geluiden,0,uitgeput,0
7,90.82503720000022,787.0054724999991,none,0,957.380987999999,958.6048493999988,963.2541676000001,965.497272999999,zwaar,geluiden,1,zwaar,1
7,90.82503720000022,787.0054724999991,none,0,967.0325155999999,971.8729168999998,975.9266838000003,979.9743660999993,heet,geluiden,0,uitgeput,0
7,90.82503720000022,787.0054724999991,none,0,983.101525,987.6752424999995,992.8000596000002,996.0183935999994,heet,geluiden,1,buitenadem,0
7,90.82503720000022,787.0054724999991,none,0,999.9376649000005,1007.0334911999998,1012.1293762999994,1016.1964616999994,heet,geluiden,2,moe,0
7,90.82503720000022,787.0054724999991,none,0,1020.0650244999997,1028.005032699999,1030.969268499999,1034.5825189999996,misschien,geluiden,0,knikken,0
7,90.82503720000022,787.0054724999991,none,0,1037.993394699999,1039.6834015999993,1042.4483308,1047.468500699999,misschien,geluiden,1,ja,0
7,90.82503720000022,787.0054724999991,none,0,1050.9445596000005,1052.9033326999997,1055.5191830999993,1058.9860585999995,misschien,geluiden,2,twijfelen,0
7,90.82503720000022,787.0054724999991,none,0,1063.6303663999988,1074.3998179999999,1079.9831565000004,1086.1072466000005,vangen,geluiden,0,twijfelen,0
7,90.82503720000022,787.0054724999991,none,0,1093.7431116999996,1107.384889699999,1112.3614281999999,1116.0362661999989,vangen,geluiden,1,raak,0
