ID,exp_start,block_start,practice,cycle,display_start,trial_start,trial_end,RT,word,modality,correction,answer,points
71,6.805501099999901,488.2125581,practice,0,608.7385125000001,614.9382446999998,617.7512195999998,624.6647539,bloem,geluiden,,,0
71,6.805501099999901,488.2125581,practice,0,624.7072548000001,628.6408266999997,633.9460899999999,652.9518499000001,gek,geluiden,,verbazing,0
71,6.805501099999901,488.2125581,none,0,667.3811284999997,671.7043073,675.8978392999998,681.7313011000001,kind,geluiden,,medelijden,0
71,6.805501099999901,488.2125581,none,0,681.7660440999998,683.1227491999998,687.6832515000001,693.0495301000001,dood,geluiden,,verdriet,0
71,6.805501099999901,488.2125581,none,0,693.0844505,695.7797885999998,699.4299396000001,710.1518824999998,bliksem,geluiden,,verassing,0
71,6.805501099999901,488.2125581,none,0,710.1956090999997,713.4861234999998,716.5941030999998,720.7541846999998,sterk,geluiden,,boosheid,0
71,6.805501099999901,488.2125581,none,0,720.7884825000001,722.8937115999997,726.2274508,733.4721873999997,bijten,geluiden,,gefrustreerd,0
71,6.805501099999901,488.2125581,none,0,733.5158409999999,737.3045856999997,740.6537404000001,746.6158310999999,kruipen,geluiden,,uitputting,0
71,6.805501099999901,488.2125581,none,0,746.6504682999998,748.4340020999998,751.6354836,756.7340390999998,eten,geluiden,,genieten,0
71,6.805501099999901,488.2125581,practice,1,902.2733250000001,906.5208456,909.3975376999997,914.1406314999999,comfortabel,geluiden,,,0
71,6.805501099999901,488.2125581,practice,1,914.1837418999999,916.1060760999999,917.8315738000001,921.0998206999998,auto,geluiden,,,0
71,6.805501099999901,488.2125581,none,1,927.0276163999997,928.6698728000001,931.6907984999998,935.3685737999999,zwaar,geluiden,,eten,0
71,6.805501099999901,488.2125581,none,1,935.4118014000001,936.6664625999997,939.7342792999998,944.0366767999999,scherp,geluiden,,bliksem,0
71,6.805501099999901,488.2125581,none,1,944.0801235999998,945.584085,947.6051613,952.9463230000001,langzaam,geluiden,,dansen,0
71,6.805501099999901,488.2125581,none,1,952.9813104999998,954.3173787999999,957.6211668999999,977.3497883999999,zuur,geluiden,,iets heel lekkers,0
71,6.805501099999901,488.2125581,none,1,977.3930286999998,980.2793865999997,989.7444992999999,1005.2706046999997,dik,geluiden,,teleurstelling,0
71,6.805501099999901,488.2125581,none,1,1005.3139047,1009.1830083,1012.9670917999997,1015.5138548,verbranden,geluiden,,waterval,0
